
ARCHIVO4-CALERA

"Nombre del computadora:","ARCHIVO4-CALERA"
"Intel Anti-Theft Technology Support:","No soportado"
"TPM On-board:","No soportado"
"Intel Anti-Theft Technology Enrolled:","No soportado"
"Intel ME Version:","v11.0, Build 1002, Hotfix 18"
"BIOS VT-x Support:","No soportado"
"BIOS VT-d Support:","Soportado"
"BIOS TXT Support:","No soportado"
"BIOS TPM Support:","No soportado"
"BIOS ME Support:","No soportado"
"BIOS VA Extensions Support:","Soportado"
"Intel AT PBA For Recovery Support:","No soportado"
"Intel AT WWAN Support:","No soportado"

Hardware Security

"Power-on Password:","Deshabilitado"
"Keyboard Password:","Deshabilitado"
"Administrator Password:","Deshabilitado"
"Front Panel Reset:","Deshabilitado"

Información de arranque del sistema

"Estado de arranque:","No ocurrió ningún error"

Group Associations


Dispositivos de memoria


Matriz de memoria física

"Ubicación de la matriz:","System board"
"Uso de matriz:","System memory"
"Método de detección de errores:","Ninguna"
"Capacidad de memoria:","64 GBytes"
"Dispositivos de memoria:","2"

Memory Array Mapped Address

"Dirección inicial:","00000000"
"Dirección final:","007FFFFF"
"Ancho de partición:","1"

Dispositivo de memoria

"Ancho total:","64 bits"
"Ancho de datos:","64 bits"
"Tamaño del dispositivo:","8192 MBytes"
"Factor de forma del dispositivo:","DIMM"
"Localizador de dispositivos:","DIMM1"
"Bank Locator:","ChannelB"
"Tipo de dispositivo:","DDR4"
"Detalle del tipo de dispositivo:","Synchronous"
"Velocidad de memoria:","2133 MHz"
"Fabricante:","Samsung"
"Número de serie:","34B13A55"
"Número de parte:","M378A1K43BB2-CRC    "
"Asset Tag:"," "

Dispositivo de memoria

"Ancho total:","0 bits"
"Ancho de datos:","0 bits"
"Tamaño del dispositivo:","0 MBytes"
"Factor de forma del dispositivo:","Desconocido"
"Localizador de dispositivos:","DIMM3"
"Bank Locator:","ChannelA"
"Tipo de dispositivo:","Unknown"
"Detalle del tipo de dispositivo:",""
"Fabricante:",""
"Número de serie:",""
"Número de parte:",""
"Asset Tag:",""

Memory Device Mapped Address

"Dirección inicial:","00000000"
"Dirección final:","007FFFFF"
"Partition Row Position:","1"
"Interleave Position:","Non-interleaved"
"Interleave Data Depth:","0"

Conectores de puerto


Keyboard Port

"Tipo de puerto:","Keyboard Port"
"Referencia interna:","PS2"
"Tipo de conector interno:","PS/2"
"Referencia externa:","PS2Keyboard"
"Tipo de conector externo:","PS/2"

Mouse Port

"Tipo de puerto:","Mouse Port"
"Referencia interna:","PS2"
"Tipo de conector interno:","PS/2"
"Referencia externa:","PS2Mouse"
"Tipo de conector externo:","PS/2"

Serial Port 16550A Compatible

"Tipo de puerto:","Serial Port 16550A Compatible"
"Referencia interna:","VGA/COMA"
"Tipo de conector interno:","Proprietary"
"Referencia externa:","COMA"
"Tipo de conector externo:","DB-9 pin male"

Video Port

"Tipo de puerto:","Video Port"
"Referencia interna:","VGA/COMA"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","VGA"
"Tipo de conector externo:","DB-15 pin female"

Video Port

"Tipo de puerto:","Video Port"
"Referencia interna:","DisplayPort"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","DisplayPort 1"
"Tipo de conector externo:","Desconocido"

Network Port

"Tipo de puerto:","Network Port"
"Referencia interna:","RJ45/USB"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","LAN"
"Tipo de conector externo:","RJ-45"

Audio Port

"Tipo de puerto:","Audio Port"
"Referencia interna:","FRONT AUD"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Front mic in"
"Tipo de conector externo:","Mini-DIN"

Audio Port

"Tipo de puerto:","Audio Port"
"Referencia interna:","FRONT AUD"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Front headphone out"
"Tipo de conector externo:","Mini-DIN"

Audio Port

"Tipo de puerto:","Audio Port"
"Referencia interna:","SPKR"
"Tipo de conector interno:","Desconocido"
"Referencia externa:","Speaker"
"Tipo de conector externo:","Ninguna"

Audio Port

"Tipo de puerto:","Audio Port"
"Referencia interna:","IN/OUT"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Rear line in"
"Tipo de conector externo:","Mini-DIN"

Audio Port

"Tipo de puerto:","Audio Port"
"Referencia interna:","IN/OUT"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Rear line out"
"Tipo de conector externo:","Mini-DIN"

USB

"Tipo de puerto:","USB"
"Referencia interna:","FRONT USB 3.0"
"Tipo de conector interno:","Proprietary"
"Referencia externa:","Front USB 3.0 Port 1"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","FRONT USB 3.0"
"Tipo de conector interno:","Proprietary"
"Referencia externa:","Front USB 3.0 Port 2"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","USB"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Rear USB Port 1"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","USB"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Rear USB Port 2"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","USB"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Rear USB 3.0 Port 1"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","USB"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Rear USB 3.0 Port 2"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","RJ45/USB"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Rear USB Port 3"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","RJ45/USB"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Rear USB Port 4"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","MEDIA"
"Tipo de conector interno:","Proprietary"
"Referencia externa:","Aux USB port"
"Tipo de conector externo:","Ninguna"

SATA

"Tipo de puerto:","SATA"
"Referencia interna:","Ctrl0Port0"
"Tipo de conector interno:","SAS/SATA Plug Receptacle"
"Referencia externa:","SATA0"
"Tipo de conector externo:","SAS/SATA Plug Receptacle"

SATA

"Tipo de puerto:","SATA"
"Referencia interna:","Ctrl0Port1"
"Tipo de conector interno:","SAS/SATA Plug Receptacle"
"Referencia externa:","SATA1"
"Tipo de conector externo:","SAS/SATA Plug Receptacle"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","PWR"
"Tipo de conector interno:","Desconocido"
"Referencia externa:","Main power"
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","PWRCPU"
"Tipo de conector interno:","Desconocido"
"Referencia externa:","CPU power"
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","SATAPWR0"
"Tipo de conector interno:","Desconocido"
"Referencia externa:","SATA power"
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","CHFAN2"
"Tipo de conector interno:","Desconocido"
"Referencia externa:","Front chassis fan"
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","CPUFAN"
"Tipo de conector interno:","Desconocido"
"Referencia externa:","CPU fan"
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","PB/LED"
"Tipo de conector interno:","Proprietary"
"Referencia externa:","Power Button and Front LED"
"Tipo de conector externo:","Ninguna"

Ranuras del sistema


PCI Express x 16 Slot 1

"Designación de la ranura:","PCI Express x 16 Slot 1"
"Tipo de ranura:","PCI Express Gen3 x16"
"Uso de la ranura:","Vacío"
"Ancho del bus de datos de la ranura:","16x / x16"
"Longitud de la ranura:","Largo"
"Base Bus:Device:Function Number:","0:1:0"

PCI Express x 1 Slot 1

"Designación de la ranura:","PCI Express x 1 Slot 1"
"Tipo de ranura:","PCI Express Gen2 x1"
"Uso de la ranura:","Vacío"
"Ancho del bus de datos de la ranura:","1x / x1"
"Longitud de la ranura:","Corto"
"Base Bus:Device:Function Number:","0:28:5"

Intel ME

"ME Current Working State:","Normal"
"Manufacturing Mode:","Not Active"
"ME Current Operation Mode:","Normal"
"Boot Guard Status:","Activado"
"Boot Guard Verified Boot Policy:","Deshabilitado"
"Boot Guard Measured Boot Policy:","Deshabilitado"
"Intel ME Version:","11.0, Build 1002, Hot Fix 18"
"Intel ME Recovery Image Version:","11.0, Build 1002, Hot Fix 18"
"Intel ME FITC Version:","11.0, Build 1002, Hot Fix 10"
"Full Network Manageability:","No capaz"
"Standard Network Manageability:","No capaz"
"Manageability (AMT):","No capaz"
"Small Business Advantage:","No capaz"
"Intel Integrated Touch:","No capaz"
"Intel Anti-Theft:","No capaz"
"Capability Licensing Service:","Capaz"
"Virtualization Engine:","No capaz"
"Intel Sensor Hub (ISH):","No capaz"
"ICC Over Clocking:","Capaz"
"Protected Audio Video Path (PAVP):","Capaz"
"Network Frame Forwarder (NFF):","No capaz"
"Remote PC Assist (RPAT):","No capaz"
"IPV6:","No capaz"
"KVM Remote Control:","No capaz"
"Outbreak Containment Heuristic (OCH):","No capaz"
"Dynamic Application Loader (DAL):","Capaz"
"Cipher Transport Layer (TLS):","No capaz"
"Wireless LAN (WLAN):","No capaz"
"Platform Trust Technology (PTT):","No capaz"
"Near Field Communication (NFC):","No capaz"
"Full Network Manageability:","Deshabilitado"
"Standard Network Manageability:","Deshabilitado"
"Manageability (AMT):","Deshabilitado"
"Small Business Advantage:","No capaz"
"MEI3:","No capaz"
"Intel Anti-Theft:","Deshabilitado"
"Capability Licensing Service:","Activado"
"Virtualization Engine:","Deshabilitado"
"Intel Sensor Hub (ISH):","Deshabilitado"
"ICC Over Clocking:","Activado"
"Protected Audio Video Path (PAVP):","Activado"
"Network Frame Forwarder (NFF):","No capaz"
"Remote PC Assist (RPAT):","Deshabilitado"
"IPV6:","Deshabilitado"
"KVM Remote Control:","Deshabilitado"
"Outbreak Containment Heuristic (OCH):","Deshabilitado"
"Dynamic Application Loader (DAL):","Capaz"
"Cipher Transport Layer (TLS):","Deshabilitado"
"Wireless LAN (WLAN):","Deshabilitado"
"Platform Trust Technology (PTT):","Deshabilitado"
"Near Field Communication (NFC):","Deshabilitado"
"Platform Target Usage Type:","Desktop"
"SKU:","Regular SKU"
"ME Firmware Image Type:","Consumer SKU Firmware"
"Platform Brand:","None"
"Host ME Region Flash Protection Override (HMRFPO) Status:","Disabled"

Intel ICC

"Clock Usage:","BCLK/DMI/PEG/PCIe/SATA/USB3"
"Current Frequency:","100.000 MHz"
"User Frequency:","100.000 MHz"
"Minimum Frequency:","99.500 MHz"
"Maximum Frequency:","100.000 MHz"
"SSC Mode:","Down, 0.47%"
"Spread Supported:","Down"
"Change Allowed:","No soportado"
"Halt Allowed:","No soportado"
"Clock Source:","PCIe"
"Clock Usage:","Not Used"
"Current Frequency:","100.000 MHz"
"User Frequency:","100.000 MHz"
"Minimum Frequency:","99.500 MHz"
"Maximum Frequency:","100.000 MHz"
"SSC Mode:","Down, 0.47%"
"Spread Supported:","Down"
"Change Allowed:","No soportado"
"Halt Allowed:","No soportado"
"Clock Source:","PCIe"

Memoria

"Tamaño de memoria total:","8 GBytes"
"Total Memory Size [MB]:","8192"
"Frecuencia de memoria máxima admitida:","1066.7 MHz"
"Frecuencia de memoria actual:","1064.8 MHz"
"Sincronización actual (tCAS-tRCD-tRP-tRAS):","15-15-15-35"
"Canales de memoria compatibles:","2"
"Canales de memoria activos:","1"
"Tasa de comando (CR):","2T"
"Read to Read Delay (tRDRD_SG/TrdrdScL) Same Bank Group:","6T"
"Read to Read Delay (tRDRD_DG/TrdrdScDlr) Different Bank Group:","4T"
"Read to Read Delay (tRDRD_SD) Same DIMM:","6T"
"Read to Read Delay (tRDRD_DD) Different DIMM:","7T"
"Write to Write Delay (tWRWR_SG/TwrwrScL) Same Bank Group:","6T"
"Write to Write Delay (tWRWR_DG/TwrwrScDlr) Different Bank Group:","4T"
"Write to Write Delay (tWRWR_SD) Same DIMM:","7T"
"Write to Write Delay (tWRWR_DD) Different DIMM:","7T"
"Read to Write Delay (tRDWR_SG/TrdwrScL) Same Bank Group:","9T"
"Read to Write Delay (tRDWR_DG/TrdwrScDlr) Different Bank Group:","9T"
"Read to Write Delay (tRDWR_SD) Same DIMM:","10T"
"Read to Write Delay (tRDWR_DD) Different DIMM:","11T"
"Write to Read Delay (tWRRD_SG/TwrrdScL) Same Bank Group:","27T"
"Write to Read Delay (tWRRD_DG/TwrrdScDlr) Different Bank Group:","22T"
"Write to Read Delay (tWRRD_SD) Same DIMM:","6T"
"Write to Read Delay (tWRRD_DD) Different DIMM:","6T"
"Read to Precharge Delay (tRTP):","8T"
"Write to Precharge Delay (tWTP):","28T"
"Write Recovery Time (tWR):","17T"
"RAS# to RAS# Delay (tRRD_L):","6T"
"RAS# to RAS# Delay (tRRD_S):","18T"
"Row Cycle Time (tRC):","50T"
"Refresh Cycle Time (tRFC):","374T"
"Four Activate Window (tFAW):","23T"

Hilera: 0 [ChannelB/DIMM1] - 8 GB PC4-19200 DDR4 SDRAM Samsung M378A1K43BB2-CRC

"Número de módulo:","0"
"Tamaño del módulo:","8 GBytes"
"Tipo de memoria:","DDR4 SDRAM"
"Tipo de módulo:","Unbuffered DIMM (UDIMM)"
"Velocidad de memoria:","1200.0 MHz (DDR4-2400 / PC4-19200)"
"Fabricante del módulo:","Samsung"
"Número de pieza del módulo:","M378A1K43BB2-CRC"
"Revisión del módulo:","0.0"
"Número de serie del módulo:","1429909812 (34B13A55)"
"Fecha de fabricación del módulo:","Año: 2017, Semana: 4"
"Ubicación de fabricación del módulo:","2"
"Fabricante de SDRAM:","Samsung"
"DRAM Steppping:","0.0"
"Verificación / corrección de errores:","Ninguna"
"Bits de dirección de fila:","16"
"Bits de dirección de columna:","10"
"Densidad del módulo:","8192 Mb"
"Número de rangos:","1"
"Número de grupos de bancos:","4"
"Ancho del dispositivo:","8 bits"
"Bus Width:","64 bits"
"Die Count:","1"
"Voltaje nominal del módulo (VDD):","1.2 V"
"Tiempo de ciclo mínimo de SDRAM (tCKAVGmin):","0.83300 ns (1200 MHz)"
"Tiempo máximo de ciclo de SDRAM (tCKAVGmax):","1.60000 ns"
"Latencias de CAS # admitidas:","10, 11, 12, 13, 14, 15, 16, 17, 18"
"Tiempo de latencia mínimo CAS # (tAAmin):","13.750 ns"
"Mínimo RAS # a CAS # Retardo (tRCDmin):","13.750 ns"
"Minimum Row Precharge Time (tRPmin):","13.750 ns"
"Minimum Active to Precharge Time (tRASmin):","32.000 ns"
"Temporización del módulo admitido a 1200.0 MHz:","17-17-17-39"
"Temporización del módulo admitido a 1066.7 MHz:","15-15-15-35"
"Temporización del módulo admitido a 933.3 MHz:","13-13-13-30"
"Temporización del módulo admitido a 800.0 MHz:","11-11-11-26"
"Temporización del módulo admitido a 666.7 MHz:","10-10-10-22"
"Minimum Active to Active/Refresh Time (tRCmin):","45.750 ns"
"Minimum Refresh Recovery Time Delay (tRFC1min):","350.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC2min):","260.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC4min):","160.000 ns"
"Minimum Four Activate Window Delay Time (tFAWmin):","21.000 ns"
"Minimum Active to Active Delay Time - Different Bank Group (tRRD_Smin):","3.300 ns"
"Minimum Active to Active Delay Time - Same Bank Group (tRRD_Lmin):","4.900 ns"
"Minimum CAS to CAS Delay Time - Same Bank Group (tCCD_Lmin):","5.000 ns"
"Sensor de temperatura del módulo (TSOD):","No soportado"
"Altura nominal del módulo:","31 - 32 mm"
"Espesor máximo del módulo (frontal):","1 - 2 mm"
"Espesor máximo del módulo (trasero):","1 - 2 mm"
"Address Mapping from Edge Connector to DRAM:","Standard"

Bus


PCI Bus #0


Intel Skylake-S - Host Bridge/DRAM Controller [S0/R0]

"Nombre del dispositivo:","Intel Skylake-S - Host Bridge/DRAM Controller [S0/R0]"
"Nombre del dispositivo original:","Intel Skylake-S - Host Bridge/DRAM Controller [S0/R0]"
"Clase de dispositivo:","Host-to-PCI Bridge"
"ID de revisión:","7 [S0/R0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_191F&SUBSYS_8062103C&REV_07"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) Host Bridge/DRAM Registers - 191F"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.7.3"
"DeviceInstanceId","PCI\VEN_8086&DEV_191F&SUBSYS_8062103C&REV_07\3&11583659&0&00"
"Location Paths","PCIROOT(0)#PCI(0000)"

Intel HD Graphics 530 (Skylake-S GT2) [S0/R0]

"Nombre del dispositivo:","Intel HD Graphics 530 (Skylake-S GT2) [S0/R0]"
"Nombre del dispositivo original:","Intel HD Graphics 530 (Skylake-S GT2) [S0/R0]"
"Clase de dispositivo:","VGA Compatible Adapter"
"ID de revisión:","6 [S0/R0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:2:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1912&SUBSYS_8062103C&REV_06"
"Versión:","2.0"
"Ancho actual del enlace:","No negociado"
"Velocidad máxima de enlace:","5.0 GT/s"
"Tipo de dispositivo / puerto:","Extremo integrado del complejo raíz"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","Ninguna"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","D0000000"
"Dirección base de memoria 2","C0000000"
"Dirección base de E/S 4","4000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) HD Graphics 530"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","31.0.101.2111"
"Fecha del controlador:","18-Jul-2022"
"DCH/UWD Driver:","Capaz"
"DeviceInstanceId","PCI\VEN_8086&DEV_1912&SUBSYS_8062103C&REV_06\3&11583659&0&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Intel Skylake PCH-H - USB 3.0 xHCI Controller [D1]

"Nombre del dispositivo:","Intel Skylake PCH-H - USB 3.0 xHCI Controller [D1]"
"Nombre del dispositivo original:","Intel Skylake PCH-H - USB 3.0 xHCI Controller [D1]"
"Clase de dispositivo:","USB xHCI Controller"
"ID de revisión:","31 [D1]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:20:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_A12F&SUBSYS_8062103C&REV_31"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","D1100000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Versión USB admitida:","3.0"
"Fabricante del controlador:","Controladora de host USB genérico xHCI"
"Descripción del controlador:","Controladora de host USB genérico compatible con xHCI"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4355"
"Fecha del controlador:","11-Apr-2024"
"DeviceInstanceId","PCI\VEN_8086&DEV_A12F&SUBSYS_8062103C&REV_31\3&11583659&0&A0"
"Location Paths","PCIROOT(0)#PCI(1400)"

USB Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port5] : HP, PID=064A

"Fabricante del dispositivo:","Primax"
"Nombre del producto:","HP USB Keyboard"
"Número de serie:","N/A"
"Versión USB admitida:","1.10"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_03F0&PID_064A"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4474"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_03F0&PID_064A\5&13E29374&0&5"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(5)"

[Port6] : HP Optical Mouse

"Fabricante del dispositivo:","PixArt"
"Nombre del producto:","HP USB Optical Mouse"
"Número de serie:","N/A"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo de entrada USB"
"ID de hardware:","USB\VID_03F0&PID_134A"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Dispositivo de entrada USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_03F0&PID_134A\5&13E29374&0&6"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(6)"

[Port7] : No Device Connected


[Port8] : No Device Connected


[Port9] : No Device Connected


[Port10] : No Device Connected


[Port11] : Device General Failure


[Port12] : Device General Failure


[Port13] : Device General Failure


[Port14] : Device General Failure


[Port15] : Device General Failure


[Port16] : Device General Failure


[Port17] : No Device Connected


[Port18] : No Device Connected


[Port19] : No Device Connected


[Port20] : No Device Connected


Intel Skylake PCH-H - Thermal Subsystem [D1]

"Nombre del dispositivo:","Intel Skylake PCH-H - Thermal Subsystem [D1]"
"Nombre del dispositivo original:","Intel Skylake PCH-H - Thermal Subsystem [D1]"
"Clase de dispositivo:","Other Data Acquisition/Signal Processing Controller"
"ID de revisión:","31 [D1]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:20:2"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_A131&SUBSYS_8062103C&REV_31"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTC#"
"Dirección base de memoria 0","D112A000"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) 100 Series/C230 Series Chipset Family Thermal subsystem - A131"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.1.45"
"DeviceInstanceId","PCI\VEN_8086&DEV_A131&SUBSYS_8062103C&REV_31\3&11583659&0&A2"
"Location Paths","PCIROOT(0)#PCI(1402)"

Intel Skylake PCH-H - CSME: HECI #1 [D1]

"Nombre del dispositivo:","Intel Skylake PCH-H - CSME: HECI #1 [D1]"
"Nombre del dispositivo original:","Intel Skylake PCH-H - CSME: HECI #1 [D1]"
"Clase de dispositivo:","Other Communication Device"
"ID de revisión:","31 [D1]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:22:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_A13A&SUBSYS_8062103C&REV_31"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","FE7EB000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Intel"
"Descripción del controlador:","Intel(R) Management Engine Interface "
"Proveedor de controladores:","Intel"
"Versión del controlador:","2013.14.0.1529"
"Fecha del controlador:","23-Mar-2020"
"DeviceInstanceId","PCI\VEN_8086&DEV_A13A&SUBSYS_8062103C&REV_31\3&11583659&0&B0"
"Location Paths","PCIROOT(0)#PCI(1600)"

Intel Skylake PCH-H DT/WS - SATA AHCI Controller [D1]

"Nombre del dispositivo:","Intel Skylake PCH-H DT/WS - SATA AHCI Controller [D1]"
"Nombre del dispositivo original:","Intel Skylake PCH-H DT/WS - SATA AHCI Controller [D1]"
"Clase de dispositivo:","SATA AHCI Controller"
"ID de revisión:","31 [D1]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:23:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_A102&SUBSYS_8062103C&REV_31"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","D1128000"
"Dirección base de memoria 1","D112E000"
"Dirección base de E/S 2","4080"
"Dirección base de E/S 3","4088"
"Dirección base de E/S 4","4040"
"Dirección base de memoria 5","D112C000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","Capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Velocidad de interfaz admitida:","Gen3 6.0 Gbps"
"Número de puertos:","4"
"Soporte SATA externo:","No capaz"
"Aggressive Link Power Management:","Capaz"
"Staggered Spin-up:","Capaz"
"Mechanical Presence Switch:","No capaz"
"Command Queue Acceleration:","Capaz"
"64-bit Addressing:","Capaz"
"Estado AHCI:","Activado"
"Versión AHCI:","1.31"
"Puertos implementados:","0, 1"
"Estado del puerto:","Dispositivo presente, comunicación Phy establecida"
"Velocidad de interfaz actual:","Gen3 6.0 Gbps"
"Puerto SATA externo:","No capaz"
"Hot Plug:","No capaz"
"Tipo de dispositivo:","SATA"
"Estado del puerto:","Dispositivo presente, comunicación Phy establecida"
"Velocidad de interfaz actual:","Gen1 1.5 Gbps"
"Puerto SATA externo:","No capaz"
"Hot Plug:","No capaz"
"Tipo de dispositivo:","SATA"
"Fabricante del controlador:","Controladora SATA AHCI estándar"
"Descripción del controlador:","Controladora SATA AHCI estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_A102&SUBSYS_8062103C&REV_31\3&11583659&0&B8"
"Location Paths","PCIROOT(0)#PCI(1700)"

Intel Skylake PCH-H - PCI Express Root Port #5 [D1]

"Nombre del dispositivo:","Intel Skylake PCH-H - PCI Express Root Port #5 [D1]"
"Nombre del dispositivo original:","Intel Skylake PCH-H - PCI Express Root Port #5 [D1]"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","F1 [D1]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:28:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_A114&SUBSYS_00000000&REV_F1"
"Versión:","2.0"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","x1"
"Velocidad máxima de enlace:","5.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","No capaz"
"Hot-Plug Surprise:","No capaz"
"Límite de potencia de la ranura:","10.000 W"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","128 bytes"
