
FACTURACION3

"Nombre del computadora:","FACTURACION3"
"Temporización del módulo admitido a 800.0 MHz:","11-11-11-28"
"Temporización del módulo admitido a 666.7 MHz:","9-9-9-24"
"Temporización del módulo admitido a 533.3 MHz:","7-7-7-19"
"Temporización del módulo admitido a 400.0 MHz:","6-6-6-14"
"Temporización del módulo admitido a 333.3 MHz:","5-5-5-12"
"Minimum Write Recovery Time (tWRmin):","15.000 ns"
"Minimum Row Active to Row Active Delay (tRRDmin):","6.000 ns"
"Minimum Active to Active/Refresh Time (tRCmin):","48.125 ns"
"Minimum Refresh Recovery Time Delay (tRFCmin):","260.000 ns"
"Minimum Internal Write to Read Command Delay (tWTRmin):","7.500 ns"
"Minimum Internal Read to Precharge Command Delay (tRTPmin):","7.500 ns"
"Minimum Four Activate Window Delay Time (tFAWmin):","30.000 ns"
"Partial Array Self Refresh (PASR):","No soportado"
"On-die Thermal Sensor (ODTS) Readout:","No soportado"
"Auto Self Refresh (ASR):","No soportado"
"Extended Temperature 1X Refresh Rate:","No soportado"
"Extended Temperature Range:","Soportado"
"Module Temperature Sensor:","No soportado"
"Pseudo Target Row Refresh (pTRR):","Soportado"
"Maximum Active Window (MAW):","64 mS"
"Unlimited MAC:","Soportado"
"Maximum Active Window (MAW):","Unknown (not tested)"
"Altura nominal del módulo:","29 - 30 mm"
"Espesor máximo del módulo (frontal):","1 - 2 mm"
"Espesor máximo del módulo (trasero):","1 - 2 mm"

Bus


PCI Bus #0


Intel Apollo Lake SoC - Host Bridge (C-Unit) [B1]

"Nombre del dispositivo:","Intel Apollo Lake SoC - Host Bridge (C-Unit) [B1]"
"Nombre del dispositivo original:","Intel Apollo Lake SoC - Host Bridge (C-Unit) [B1]"
"Clase de dispositivo:","Host-to-PCI Bridge"
"ID de revisión:","B [B1]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_5AF0&SUBSYS_36C417AA&REV_0B"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puente PCI de CPU host estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_5AF0&SUBSYS_36C417AA&REV_0B\3&11583659&0&00"
"Location Paths","PCIROOT(0)#PCI(0000)"

Intel Apollo Lake SoC - Dynamic Platform & Thermal Framework (DPTF)

"Nombre del dispositivo:","Intel Apollo Lake SoC - Dynamic Platform & Thermal Framework (DPTF)"
"Nombre del dispositivo original:","Intel Apollo Lake SoC - Dynamic Platform & Thermal Framework (DPTF)"
"Clase de dispositivo:","Other Data Acquisition/Signal Processing Controller"
"ID de revisión:","B"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:0:1"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_5A8C&SUBSYS_36C417AA&REV_0B"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTB#"
"Dirección base de memoria 0","0"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"DeviceInstanceId","PCI\VEN_8086&DEV_5A8C&SUBSYS_36C417AA&REV_0B\3&11583659&0&01"
"Location Paths","PCIROOT(0)#PCI(0001)"

Intel Apollo Lake SoC - Graphics and Display Controller (18 EU) [B1]

"Nombre del dispositivo:","Intel Apollo Lake SoC - Graphics and Display Controller (18 EU) [B1]"
"Nombre del dispositivo original:","Intel Apollo Lake SoC - Graphics and Display Controller (18 EU) [B1]"
"Clase de dispositivo:","VGA Compatible Adapter"
"ID de revisión:","B [B1]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:2:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_5A84&SUBSYS_36C417AA&REV_0B"
"Versión:","2.0"
"Ancho actual del enlace:","No negociado"
"Velocidad máxima de enlace:","5.0 GT/s"
"Tipo de dispositivo / puerto:","Extremo integrado del complejo raíz"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","Ninguna"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","90000000"
"Dirección base de memoria 2","80000000"
"Dirección base de E/S 4","F000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) HD Graphics 505"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","30.0.101.1371"
"Fecha del controlador:","02-Feb-2022"
"DCH/UWD Driver:","Capaz"
"DeviceInstanceId","PCI\VEN_8086&DEV_5A84&SUBSYS_36C417AA&REV_0B\3&11583659&0&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Intel Apollo Lake SoC - High Definition Audio Controller

"Nombre del dispositivo:","Intel Apollo Lake SoC - High Definition Audio Controller"
"Nombre del dispositivo original:","Intel Apollo Lake SoC - High Definition Audio Controller"
"Clase de dispositivo:","High Definition Audio"
"ID de revisión:","B"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:14:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_5A98&SUBSYS_36C417AA&REV_0B"
"Versión:","1.1"
"Ancho actual del enlace:","x1"
"Velocidad de enlace actual:","16.0 GT/s"
"Tipo de dispositivo / puerto:","Extremo integrado del complejo raíz"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","Ninguna"
"Active State Power Management (ASPM) Status:","L0s Entry"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","IRQ25"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","91418000"
"Dirección base de memoria 4","91200000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Microsoft"
"Descripción del controlador:","Controladora de High Definition Audio"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","18-Oct-2023"
"DeviceInstanceId","PCI\VEN_8086&DEV_5A98&SUBSYS_36C417AA&REV_0B\3&11583659&0&70"
"Location Paths","PCIROOT(0)#PCI(0E00)"

Intel Apollo Lake SoC - TXE HECI1

"Nombre del dispositivo:","Intel Apollo Lake SoC - TXE HECI1"
"Nombre del dispositivo original:","Intel Apollo Lake SoC - TXE HECI1"
"Clase de dispositivo:","Other Communication Device"
"ID de revisión:","B"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:15:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_5A9A&SUBSYS_36C417AA&REV_0B"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","D3708000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"DeviceInstanceId","PCI\VEN_8086&DEV_5A9A&SUBSYS_36C417AA&REV_0B\3&11583659&0&78"
"Location Paths","PCIROOT(0)#PCI(0F00)"

Intel Apollo Lake SoC - SATA Controller

"Nombre del dispositivo:","Intel Apollo Lake SoC - SATA Controller"
"Nombre del dispositivo original:","Intel Apollo Lake SoC - SATA Controller"
"Clase de dispositivo:","SATA AHCI Controller"
"ID de revisión:","B"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:18:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_5AE3&SUBSYS_36C417AA&REV_0B"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","9141C000"
"Dirección base de memoria 1","91422000"
"Dirección base de E/S 2","F090"
"Dirección base de E/S 3","F080"
"Dirección base de E/S 4","F060"
"Dirección base de memoria 5","91421000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","Capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Velocidad de interfaz admitida:","Gen3 6.0 Gbps"
"Número de puertos:","2"
"Soporte SATA externo:","No capaz"
"Aggressive Link Power Management:","Capaz"
"Staggered Spin-up:","No capaz"
"Mechanical Presence Switch:","No capaz"
"Command Queue Acceleration:","Capaz"
"64-bit Addressing:","Capaz"
"Estado AHCI:","Activado"
"Versión AHCI:","1.31"
"Puertos implementados:","0, 1"
"Estado del puerto:","Dispositivo presente, comunicación Phy establecida"
"Velocidad de interfaz actual:","Gen3 6.0 Gbps"
"Puerto SATA externo:","No capaz"
"Hot Plug:","No capaz"
"Tipo de dispositivo:","SATA"
"Estado del puerto:","Dispositivo presente, comunicación Phy establecida"
"Velocidad de interfaz actual:","Gen1 1.5 Gbps"
"Puerto SATA externo:","No capaz"
"Hot Plug:","No capaz"
"Tipo de dispositivo:","SATA"
"Fabricante del controlador:","Controladora SATA AHCI estándar"
"Descripción del controlador:","Controladora SATA AHCI estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_5AE3&SUBSYS_36C417AA&REV_0B\3&11583659&0&90"
"Location Paths","PCIROOT(0)#PCI(1200)"

Intel Apollo Lake SoC - PCIe Root Port A #1

"Nombre del dispositivo:","Intel Apollo Lake SoC - PCIe Root Port A #1"
"Nombre del dispositivo original:","Intel Apollo Lake SoC - PCIe Root Port A #1"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","FB"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:19:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_5AD9&SUBSYS_00000000&REV_FB"
"Versión:","2.0"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","x1"
"Velocidad máxima de enlace:","5.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","No capaz"
"Hot-Plug Surprise:","No capaz"
"Límite de potencia de la ranura:","10.000 W"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L0s Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTB#"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puerto raíz PCI Express"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3996"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_5AD9&SUBSYS_36C417AA&REV_FB\3&11583659&0&98"
"Location Paths","PCIROOT(0)#PCI(1300)"

PCI Express x1 Bus #1


Atheros/Qualcomm QCA9377 802.11ac Wireless Network Adapter

"Nombre del dispositivo:","Atheros/Qualcomm QCA9377 802.11ac Wireless Network Adapter"
"Nombre del dispositivo original:","Atheros/Qualcomm QCA9377 802.11ac Wireless Network Adapter"
"Clase de dispositivo:","Other Network Adapter"
"ID de revisión:","31"
"Número de dirección PCI (Bus: Dispositivo: Función):","1:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_168C&DEV_0042&SUBSYS_090117AA&REV_31"
"Versión:","1.1"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","x1"
"Velocidad máxima de enlace:","2.5 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Punto final PCI Express"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L0s Entry"
"L0s Exit Latency:","2 - 4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","91000000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Qualcomm Atheros Communications Inc."
"Descripción del controlador:","Qualcomm Atheros QCA9377 Wireless Network Adapter"
"Proveedor de controladores:","Qualcomm Atheros Communications Inc."
"Versión del controlador:","12.0.0.1118"
"Fecha del controlador:","18-May-2021"
"DeviceInstanceId","PCI\VEN_168C&DEV_0042&SUBSYS_090117AA&REV_31\4&19756B01&0&0098"
"Location Paths","PCIROOT(0)#PCI(1300)#PCI(0000)"

Intel Apollo Lake SoC - PCIe Root Port A #2

"Nombre del dispositivo:","Intel Apollo Lake SoC - PCIe Root Port A #2"
"Nombre del dispositivo original:","Intel Apollo Lake SoC - PCIe Root Port A #2"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","FB"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:19:2"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_5ADA&SUBSYS_00000000&REV_FB"
"Versión:","2.0"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","x1"
"Velocidad máxima de enlace:","5.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","No capaz"
"Hot-Plug Surprise:","No capaz"
"Límite de potencia de la ranura:","10.000 W"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","Ninguna"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTC#"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puerto raíz PCI Express"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3996"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_5ADA&SUBSYS_36C417AA&REV_FB\3&11583659&0&9A"
"Location Paths","PCIROOT(0)#PCI(1302)"

PCI Express x1 Bus #2


RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC

"Nombre del dispositivo:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Nombre del dispositivo original:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Clase de dispositivo:","Ethernet Adapter"
"ID de revisión:","C"
"Número de dirección PCI (Bus: Dispositivo: Función):","2:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_10EC&DEV_8168&SUBSYS_36C417AA&REV_0C"
"Versión:","1.1"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","x1"
"Velocidad máxima de enlace:","2.5 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Punto final PCI Express"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de E/S 0","E000"
"Dirección base de memoria 2","91304000"
"Dirección base de memoria 4","91300000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Controladora de la familia Realtek PCIe GbE"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","9.1.410.2015"
"Fecha del controlador:","09-Apr-2015"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8168&SUBSYS_36C417AA&REV_0C\01000000684CE00000"
"Location Paths","PCIROOT(0)#PCI(1302)#PCI(0000)"

Intel Apollo Lake SoC - PCIe Root Port B #0

"Nombre del dispositivo:","Intel Apollo Lake SoC - PCIe Root Port B #0"
"Nombre del dispositivo original:","Intel Apollo Lake SoC - PCIe Root Port B #0"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","FB"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:20:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_5AD6&SUBSYS_00000000&REV_FB"
"Versión:","2.0"
"Ancho máximo del enlace:","x2"
"Ancho actual del enlace:","No negociado"
"Velocidad máxima de enlace:","5.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","No capaz"
"Hot-Plug Surprise:","No capaz"
"Límite de potencia de la ranura:","25.000 W"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L0s and L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puerto raíz PCI Express"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3996"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_5AD6&SUBSYS_36C417AA&REV_FB\3&11583659&0&A0"
"Location Paths","PCIROOT(0)#PCI(1400)"

PCI Express x2 Bus #3


Intel Apollo Lake SoC - USB Host 3.0 Controller (xHCI)

"Nombre del dispositivo:","Intel Apollo Lake SoC - USB Host 3.0 Controller (xHCI)"
"Nombre del dispositivo original:","Intel Apollo Lake SoC - USB Host 3.0 Controller (xHCI)"
"Clase de dispositivo:","USB xHCI Controller"
"ID de revisión:","B"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:21:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_5AA8&SUBSYS_36C417AA&REV_0B"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","91400000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Versión USB admitida:","3.0"
"Fabricante del controlador:","Controladora de host USB genérico xHCI"
"Descripción del controlador:","Controladora de host USB genérico compatible con xHCI"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3996"
"Fecha del controlador:","17-Jan-2024"
"DeviceInstanceId","PCI\VEN_8086&DEV_5AA8&SUBSYS_36C417AA&REV_0B\3&11583659&0&A8"
"Location Paths","PCIROOT(0)#PCI(1500)"

USB Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : Atheros Communications Qualcomm Atheros QCA9377 Bluetooth 4.1

"Fabricante del dispositivo:","Atheros Communications Qualcomm Atheros Valkyrie BootROM"
"Nombre del producto:","Atheros Communications Qualcomm Atheros QCA9377 Bluetooth 4.1"
"Número de serie:","-"
"Versión USB admitida:","2.01"
"Velocidad del dispositivo USB:","USB 1.1 Full-speed"
"Descripción del controlador:","Qualcomm Atheros QCA9377 Bluetooth"
"ID de hardware:","USB\VID_0CF3&PID_E500"
"Fabricante del controlador:","Qualcomm Atheros Communications"
"Descripción del controlador:","Qualcomm Atheros QCA9377 Bluetooth"
"Proveedor de controladores:","Qualcomm Atheros Communications"
"Versión del controlador:","10.0.0.916"
"Fecha del controlador:","07-Aug-2019"
"DeviceInstanceId","USB\VID_0CF3&PID_E500\5&101C6775&0&3"
"Location Paths","PCIROOT(0)#PCI(1500)#USBROOT(0)#USB(3)"

[Port4] : Lenovo, PID=608D

"Fabricante del dispositivo:","PixArt"
"Nombre del producto:","Lenovo USB Optical Mouse"
"Número de serie:","N/A"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo de entrada USB"
"ID de hardware:","USB\VID_17EF&PID_608D"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Dispositivo de entrada USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_17EF&PID_608D\5&101C6775&0&4"
"Location Paths","PCIROOT(0)#PCI(1500)#USBROOT(0)#USB(4)"

[Port5] : Lenovo, PID=608C

"Fabricante del dispositivo:","Lenovo"
"Nombre del producto:","Lenovo Calliope USB Keyboard"
"Número de serie:","N/A"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_17EF&PID_608C"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_17EF&PID_608C\5&101C6775&0&5"
"Location Paths","PCIROOT(0)#PCI(1500)#USBROOT(0)#USB(5)"

[Port6] : Syntek Integrated Camera

"Fabricante del dispositivo:","Syntek"
"Nombre del producto:","Syntek Integrated Camera"
"Número de serie:","-"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_174F&PID_240E"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_174F&PID_240E\200901010001"
"Location Paths","PCIROOT(0)#PCI(1500)#USBROOT(0)#USB(6)"

[Port7] : No Device Connected


[Port8] : No Device Connected


[Port9] : No Device Connected


[Port10] : No Device Connected


[Port11] : No Device Connected


[Port12] : No Device Connected


[Port13] : No Device Connected


[Port14] : No Device Connected


[Port15] : No Device Connected


Intel Apollo Lake SoC - SD Card Controller

"Nombre del dispositivo:","Intel Apollo Lake SoC - SD Card Controller"
"Nombre del dispositivo original:","Intel Apollo Lake SoC - SD Card Controller"
"Clase de dispositivo:","SD Host Controller"
"ID de revisión:","B"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:27:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_5ACA&SUBSYS_36C417AA&REV_0B"
"Línea de interrupción:","IRQ3"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","CFEFF000"
"Dirección base de memoria 2","CFEFE000"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Intel"
"Descripción del controlador:","Controladora de host SD Intel"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_5ACA&SUBSYS_36C417AA&REV_0B\3&11583659&0&D8"
"Location Paths","PCIROOT(0)#PCI(1B00)"

Intel Apollo Lake SoC - LPC Controller

"Nombre del dispositivo:","Intel Apollo Lake SoC - LPC Controller"
"Nombre del dispositivo original:","Intel Apollo Lake SoC - LPC Controller"
"Clase de dispositivo:","PCI-to-ISA Bridge"
"ID de revisión:","B"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_5AE8&SUBSYS_36C417AA&REV_0B"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puente PCI ISA estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_5AE8&SUBSYS_36C417AA&REV_0B\3&11583659&0&F8"
"Location Paths","PCIROOT(0)#PCI(1F00)"

Intel Apollo Lake SoC - SMBus Host Controller

"Nombre del dispositivo:","Intel Apollo Lake SoC - SMBus Host Controller"
"Nombre del dispositivo original:","Intel Apollo Lake SoC - SMBus Host Controller"
"Clase de dispositivo:","SMBus (System Management Bus)"
"ID de revisión:","B"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:1"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_5AD4&SUBSYS_36C417AA&REV_0B"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","9141E000"
"Dirección base de E/S 4","F040"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"DeviceInstanceId","PCI\VEN_8086&DEV_5AD4&SUBSYS_36C417AA&REV_0B\3&11583659&0&F9"
"Location Paths","PCIROOT(0)#PCI(1F01)"

Adaptador gráfico


Intel HD Graphics Gen9-LP

"Chipset de gráficos:","Intel HD Graphics Gen9-LP"
"Nombre en clave del chipset de gráficos:","Apollo Lake, 18 EU"
"Memoria gráfica:","1024 MBytes"
"Tarjeta grafica:","Intel Apollo Lake SoC - Graphics and Display Controller (18 EU) [B1] [Lenovo]"
"Bus de tarjeta gráfica:","PCIe v2.0 x0 (5.0 GT/s) @ [DISABLED]"
"GPU Type:","Integrated"
"Gráficos RAMDAC:","Internal"
"Frecuencia del procesador de gráficos:","2400.0 MHz"
"Frecuencia de la unidad de video:","450.0 MHz"
"Soporte de barra redimensionable (ReBAR):","No soportado"
"ID de hardware:","PCI\VEN_8086&DEV_5A84&SUBSYS_36C417AA&REV_0B"
"Ubicación PCI (Bus:Dispositivo:Función):","0:02:0"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) HD Graphics 505"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","30.0.101.1371"
