
ARCHIVO-CALERA

"Nombre del computadora:","ARCHIVO-CALERA"
"Tipo de puerto:","Desconocido"
"Referencia interna:","J9E2 - MDC INTPSR"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J9E4 - MDC INTPSR"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J9E3 - LPC HOT DOCKING"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J9E1 - SCAN MATRIX"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J9G1 - LPC SIDE BAND"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J8F1 - UNIFIED"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J6F1 - LVDS"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J2F1 - LAI FAN"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J2G1 - GFX VID"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J1G6 - AC JACK"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Ranuras del sistema


PCIe_X16

"Designación de la ranura:","PCIe_X16"
"Tipo de ranura:","PCI Express"
"Uso de la ranura:","Vacío"
"Ancho del bus de datos de la ranura:","16x / x16"
"Longitud de la ranura:","Largo"
"Base Bus:Device:Function Number:","0:1:0"

PCI Slot

"Designación de la ranura:","PCI Slot"
"Tipo de ranura:","PCI"
"Uso de la ranura:","Vacío"
"Ancho del bus de datos de la ranura:","32-bit"
"Longitud de la ranura:","Corto"
"Base Bus:Device:Function Number:","2:0:0"

PCIeSlot

"Designación de la ranura:","PCIeSlot"
"Tipo de ranura:","PCI Express x1"
"Uso de la ranura:","Vacío"
"Ancho del bus de datos de la ranura:","1x / x1"
"Longitud de la ranura:","Corto"
"Base Bus:Device:Function Number:","0:28:2"

PCIeSlot

"Designación de la ranura:","PCIeSlot"
"Tipo de ranura:","PCI Express x1"
"Uso de la ranura:","Vacío"
"Ancho del bus de datos de la ranura:","1x / x1"
"Longitud de la ranura:","Corto"
"Base Bus:Device:Function Number:","0:28:4"

Memoria

"Tamaño de memoria total:","4 GBytes"
"Total Memory Size [MB]:","4096"
"Frecuencia de memoria máxima admitida:","666.7 MHz"
"Frecuencia de memoria actual:","665.3 MHz"
"Sincronización actual (tCAS-tRCD-tRP-tRAS):","9-9-9-24"
"Canales de memoria compatibles:","2"
"Canales de memoria activos:","1"
"Tasa de comando (CR):","1T"
"Read to Read Delay (tRDRD_DG/TrdrdScDlr) Different Bank Group:","1T"
"Read to Read Delay (tRDRD_DD) Different DIMM:","3T"
"Write to Write Delay (tWRWR_DG/TwrwrScDlr) Different Bank Group:","3T"
"Write to Write Delay (tWRWR_DD) Different DIMM:","5T"
"Read to Write Delay (tRDWR_SG/TrdwrScL) Same Bank Group:","3T"
"Read to Write Delay (tRDWR_DG/TrdwrScDlr) Different Bank Group:","3T"
"Read to Write Delay (tRDWR_DD) Different DIMM:","3T"
"Write to Read Delay (tWRRD_SG/TwrrdScL) Same Bank Group:","5T"
"Write to Read Delay (tWRRD_DG/TwrrdScDlr) Different Bank Group:","1T"
"Write to Read Delay (tWRRD_DD) Different DIMM:","1T"
"Read to Precharge Delay (tRTP):","5T"
"Write to Precharge Delay (tWTP):","21T"
"Write Recovery Time (tWR):","10T"
"RAS# to RAS# Delay (tRRD):","4T"
"Row Cycle Time (tRC):","33T"
"Refresh Cycle Time (tRFC):","174T"
"Four Activate Window (tFAW):","20T"

Hilera: 0 [Channel A DIMM 0/DIMM1] - 4 GB PC3-12800 DDR3 SDRAM Ramaxel Technology RMR5030EF68F9W1600

"Número de módulo:","0"
"Tamaño del módulo:","4 GBytes"
"Tipo de memoria:","DDR3 SDRAM"
"Tipo de módulo:","Unbuffered DIMM (UDIMM)"
"Velocidad de memoria:","800.0 MHz (DDR3-1600 / PC3-12800)"
"Fabricante del módulo:","Ramaxel Technology"
"Número de pieza del módulo:","RMR5030EF68F9W1600"
"Revisión del módulo:","65"
"Número de serie del módulo:","2592086338 (4219809A)"
"Fecha de fabricación del módulo:","Año: 2014, Semana: 22"
"Ubicación de fabricación del módulo:","1"
"Fabricante de SDRAM:","Elpida"
"Verificación / corrección de errores:","Ninguna"
"Bits de dirección de fila:","16"
"Bits de dirección de columna:","10"
"Number Of Banks:","8"
"Densidad del módulo:","4096 Mb"
"Número de rangos:","1"
"Ancho del dispositivo:","8 bits"
"Bus Width:","64 bits"
"Voltaje nominal del módulo (VDD):","1.5 V, 1.35 V"
"Minimum SDRAM Cycle Time (tCKmin):","1.250 ns"
"Latencias de CAS # admitidas:","5, 6, 7, 8, 9, 10, 11"
"Tiempo de latencia mínimo CAS # (tAAmin):","13.125 ns"
"Mínimo RAS # a CAS # Retardo (tRCDmin):","13.125 ns"
"Minimum Row Precharge Time (tRPmin):","13.125 ns"
"Minimum Active to Precharge Time (tRASmin):","35.000 ns"
"Temporización del módulo admitido a 800.0 MHz:","11-11-11-28"
"Temporización del módulo admitido a 666.7 MHz:","9-9-9-24"
"Temporización del módulo admitido a 533.3 MHz:","7-7-7-19"
"Temporización del módulo admitido a 400.0 MHz:","6-6-6-14"
"Temporización del módulo admitido a 333.3 MHz:","5-5-5-12"
"Minimum Write Recovery Time (tWRmin):","15.000 ns"
"Minimum Row Active to Row Active Delay (tRRDmin):","6.000 ns"
"Minimum Active to Active/Refresh Time (tRCmin):","48.125 ns"
"Minimum Refresh Recovery Time Delay (tRFCmin):","260.000 ns"
"Minimum Internal Write to Read Command Delay (tWTRmin):","7.500 ns"
"Minimum Internal Read to Precharge Command Delay (tRTPmin):","7.500 ns"
"Minimum Four Activate Window Delay Time (tFAWmin):","30.000 ns"
"Partial Array Self Refresh (PASR):","Soportado"
"On-die Thermal Sensor (ODTS) Readout:","No soportado"
"Auto Self Refresh (ASR):","No soportado"
"Extended Temperature 1X Refresh Rate:","No soportado"
"Extended Temperature Range:","Soportado"
"Module Temperature Sensor:","No soportado"
"Pseudo Target Row Refresh (pTRR):","No soportado"
"Altura nominal del módulo:","29 - 30 mm"
"Espesor máximo del módulo (frontal):","1 - 2 mm"
"Espesor máximo del módulo (trasero):","<= 1 mm"

Bus


PCI Bus #0


Intel Sandy Bridge-DT - Host Bridge/DRAM Controller [D2/J1/Q0]

"Nombre del dispositivo:","Intel Sandy Bridge-DT - Host Bridge/DRAM Controller [D2/J1/Q0]"
"Nombre del dispositivo original:","Intel Sandy Bridge-DT - Host Bridge/DRAM Controller [D2/J1/Q0]"
"Clase de dispositivo:","Host-to-PCI Bridge"
"ID de revisión:","9 [D2/J1/Q0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_0100&SUBSYS_20178086&REV_09"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Fabricante del controlador:","Intel"
"Descripción del controlador:","Controladora de memoria"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_0100&SUBSYS_20178086&REV_09\3&11583659&0&00"
"Location Paths","PCIROOT(0)#PCI(0000)"

Intel Sandy Bridge-DT GT1 - Integrated Graphics [D2/J1/Q0]

"Nombre del dispositivo:","Intel Sandy Bridge-DT GT1 - Integrated Graphics [D2/J1/Q0]"
"Nombre del dispositivo original:","Intel Sandy Bridge-DT GT1 - Integrated Graphics [D2/J1/Q0]"
"Clase de dispositivo:","VGA Compatible Adapter"
"ID de revisión:","9 [D2/J1/Q0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:2:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_0102&SUBSYS_20178086&REV_09"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","FE000000"
"Dirección base de memoria 2","E0000000"
"Dirección base de E/S 4","F000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) HD Graphics"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","9.17.10.4459"
"Fecha del controlador:","18-May-2016"
"DCH/UWD Driver:","No capaz"
"DeviceInstanceId","PCI\VEN_8086&DEV_0102&SUBSYS_20178086&REV_09\3&11583659&0&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Intel Cougar Point PCH - Manageability Engine Interface 1 [B2]

"Nombre del dispositivo:","Intel Cougar Point PCH - Manageability Engine Interface 1 [B2]"
"Nombre del dispositivo original:","Intel Cougar Point PCH - Manageability Engine Interface 1 [B2]"
"Clase de dispositivo:","Other Communication Device"
"ID de revisión:","4 [B2]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:22:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C3A&SUBSYS_20178086&REV_04"
"Línea de interrupción:","IRQ11"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","FE429000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C3A&SUBSYS_20178086&REV_04\3&11583659&0&B0"
"Location Paths","PCIROOT(0)#PCI(1600)"

Intel 82579V (Lewisville) Gigabit Network Connection

"Nombre del dispositivo:","Intel 82579V (Lewisville) Gigabit Network Connection"
"Nombre del dispositivo original:","Intel 82579V (Lewisville) Gigabit Network Connection"
"Clase de dispositivo:","Ethernet Adapter"
"ID de revisión:","5"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:25:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1503&SUBSYS_20178086&REV_05"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","FE400000"
"Dirección base de memoria 1","FE428000"
"Dirección base de E/S 2","0"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) 82579V Gigabit Network Connection"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","12.17.10.8"
"Fecha del controlador:","11-Jun-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_1503&SUBSYS_20178086&REV_05\3&11583659&0&C8"
"Location Paths","PCIROOT(0)#PCI(1900)"

Intel Cougar Point PCH - USB EHCI #2 Controller [B3]

"Nombre del dispositivo:","Intel Cougar Point PCH - USB EHCI #2 Controller [B3]"
"Nombre del dispositivo original:","Intel Cougar Point PCH - USB EHCI #2 Controller [B3]"
"Clase de dispositivo:","USB EHCI Controller"
"ID de revisión:","5 [B3]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:26:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C2D&SUBSYS_20178086&REV_05"
"Línea de interrupción:","IRQ16"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","FE427000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Versión USB admitida:","2.0"
"Fabricante del controlador:","Intel"
"Descripción del controlador:","Controladora de host mejorada USB de la familia Chipset Intel(R) serie 6/serie C200 - 1C2D"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4170"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C2D&SUBSYS_20178086&REV_05\3&11583659&0&D0"
"Location Paths","PCIROOT(0)#PCI(1A00)"

USB Root Hub


[Port1] : Intel Integrated Rate Matching Hub

"Fabricante del dispositivo:","Intel"
"Nombre del producto:","Intel Integrated Rate Matching Hub"
"Número de serie:",""
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Generic USB Hub"
"ID de hardware:","USB\VID_8087&PID_0024"
"Fabricante del controlador:","(Generic USB Hub)"
"Descripción del controlador:","Generic USB Hub"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_8087&PID_0024\5&453FC50&0&1"
"Location Paths","PCIROOT(0)#PCI(1A00)#USBROOT(0)#USB(1)"

[Port1] : Lenovo, PID=608C

"Fabricante del dispositivo:","LiteOn"
"Nombre del producto:","Lenovo Calliope USB Keyboard"
"Número de serie:","N/A"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_17EF&PID_608C"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_17EF&PID_608C\6&1BCAD829&0&1"
"Location Paths","PCIROOT(0)#PCI(1A00)#USBROOT(0)#USB(1)#USB(1)"

[Port2] : HP Optical Mouse

"Fabricante del dispositivo:","HP"
"Nombre del producto:","HP Optical Mouse"
"Número de serie:",""
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo de entrada USB"
"ID de hardware:","USB\VID_03F0&PID_134A"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Dispositivo de entrada USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_03F0&PID_134A\6&1BCAD829&0&2"
"Location Paths","PCIROOT(0)#PCI(1A00)#USBROOT(0)#USB(1)#USB(2)"

[Port3] : No Device Connected


[Port4] : No Device Connected


[Port2] : No Device Connected


Intel Cougar Point PCH - High Definition Audio Controller [B3]

"Nombre del dispositivo:","Intel Cougar Point PCH - High Definition Audio Controller [B3]"
"Nombre del dispositivo original:","Intel Cougar Point PCH - High Definition Audio Controller [B3]"
"Clase de dispositivo:","High Definition Audio"
"ID de revisión:","5 [B3]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:27:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C20&SUBSYS_20178086&REV_05"
"Versión:","1.1"
"Ancho actual del enlace:","No negociado"
"Tipo de dispositivo / puerto:","Extremo integrado del complejo raíz"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","Ninguna"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","IRQ22"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","FE420000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Microsoft"
"Descripción del controlador:","Controladora de High Definition Audio"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4239"
"Fecha del controlador:","16-Mar-2024"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C20&SUBSYS_20178086&REV_05\3&11583659&0&D8"
"Location Paths","PCIROOT(0)#PCI(1B00)"

Intel Cougar Point PCH - PCI Express Port 1 [B3]

"Nombre del dispositivo:","Intel Cougar Point PCH - PCI Express Port 1 [B3]"
"Nombre del dispositivo original:","Intel Cougar Point PCH - PCI Express Port 1 [B3]"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","B5 [B3]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:28:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C10&SUBSYS_00000000&REV_B5"
"Versión:","2.0"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","x1"
"Velocidad máxima de enlace:","5.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","No capaz"
"Hot-Plug Surprise:","No capaz"
"Límite de potencia de la ranura:","10.000 W"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puerto raíz PCI Express"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3996"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C10&SUBSYS_20178086&REV_B5\3&11583659&0&E0"
"Location Paths","PCIROOT(0)#PCI(1C00)"

PCI Express x1 Bus #1


Integrated Technology Express IT8892 PCI Bridge

"Nombre del dispositivo:","Integrated Technology Express IT8892 PCI Bridge"
"Nombre del dispositivo original:","Integrated Technology Express IT8892 PCI Bridge"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","10"
"Número de dirección PCI (Bus: Dispositivo: Función):","1:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_1283&DEV_8892&SUBSYS_00000000&REV_10"
"Versión:","1.1"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","x1"
"Velocidad máxima de enlace:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Puente de PCI Express a PCI/PCI-X"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:",">64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","IRQ11"
"Pin de interrupción:","INTA#"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puente PCI Express a PCI/PCI-X"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3996"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1283&DEV_8892&SUBSYS_20178086&REV_10\00000000832E738300"
"Location Paths","PCIROOT(0)#PCI(1C00)#PCI(0000)"

PCI Express x1 Bus #2


Intel Cougar Point PCH - USB EHCI #1 Controller [B3]

"Nombre del dispositivo:","Intel Cougar Point PCH - USB EHCI #1 Controller [B3]"
"Nombre del dispositivo original:","Intel Cougar Point PCH - USB EHCI #1 Controller [B3]"
"Clase de dispositivo:","USB EHCI Controller"
"ID de revisión:","5 [B3]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:29:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C26&SUBSYS_20178086&REV_05"
"Línea de interrupción:","IRQ23"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","FE426000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Versión USB admitida:","2.0"
"Fabricante del controlador:","Intel"
"Descripción del controlador:","Controladora de host mejorada USB de la familia Chipset Intel(R) serie 6/serie C200 - 1C26"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4170"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C26&SUBSYS_20178086&REV_05\3&11583659&0&E8"
"Location Paths","PCIROOT(0)#PCI(1D00)"

USB Root Hub


[Port1] : Intel Integrated Rate Matching Hub

"Fabricante del dispositivo:","Intel"
"Nombre del producto:","Intel Integrated Rate Matching Hub"
"Número de serie:",""
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Generic USB Hub"
"ID de hardware:","USB\VID_8087&PID_0024"
"Fabricante del controlador:","(Generic USB Hub)"
"Descripción del controlador:","Generic USB Hub"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_8087&PID_0024\5&84E1736&0&1"
"Location Paths","PCIROOT(0)#PCI(1D00)#USBROOT(0)#USB(1)"

[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port5] : Device Failed Enumeration


[Port6] : No Device Connected


[Port2] : No Device Connected


Intel H61 Express Chipset - LPC Interface Controller [B3]

"Nombre del dispositivo:","Intel H61 Express Chipset - LPC Interface Controller [B3]"
"Nombre del dispositivo original:","Intel H61 Express Chipset - LPC Interface Controller [B3]"
"Clase de dispositivo:","PCI-to-ISA Bridge"
"ID de revisión:","5 [B3]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C5C&SUBSYS_20178086&REV_05"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Intel"
"Descripción del controlador:","Controladora LPC"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C5C&SUBSYS_20178086&REV_05\3&11583659&0&F8"
"Location Paths","PCIROOT(0)#PCI(1F00)"

Intel Cougar Point PCH - SATA AHCI 6-Port Controller [B3]

"Nombre del dispositivo:","Intel Cougar Point PCH - SATA AHCI 6-Port Controller [B3]"
"Nombre del dispositivo original:","Intel Cougar Point PCH - SATA AHCI 6-Port Controller [B3]"
"Clase de dispositivo:","SATA AHCI Controller"
"ID de revisión:","5 [B3]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:2"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C02&SUBSYS_20178086&REV_05"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTB#"
"Dirección base de E/S 0","F0D0"
"Dirección base de E/S 1","F0C0"
"Dirección base de E/S 2","F0B0"
"Dirección base de E/S 3","F0A0"
"Dirección base de E/S 4","F060"
"Dirección base de memoria 5","FE425000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","Capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Velocidad de interfaz admitida:","Gen2 3.0 Gbps"
"Número de puertos:","4"
"Soporte SATA externo:","No capaz"
"Aggressive Link Power Management:","Capaz"
"Staggered Spin-up:","No capaz"
"Mechanical Presence Switch:","No capaz"
"Command Queue Acceleration:","Capaz"
"64-bit Addressing:","Capaz"
"Estado AHCI:","Activado"
"Versión AHCI:","1.30"
"Puertos implementados:","4, 5"
"Estado del puerto:","Dispositivo presente, comunicación Phy establecida"
"Velocidad de interfaz actual:","Gen2 3.0 Gbps"
"Puerto SATA externo:","No capaz"
"Hot Plug:","No capaz"
"Tipo de dispositivo:","SATA"
"Estado del puerto:","Dispositivo presente, comunicación Phy establecida"
"Velocidad de interfaz actual:","Gen1 1.5 Gbps"
"Puerto SATA externo:","No capaz"
"Hot Plug:","No capaz"
"Tipo de dispositivo:","SATA"
"Fabricante del controlador:","Controladora SATA AHCI estándar"
"Descripción del controlador:","Controladora SATA AHCI estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C02&SUBSYS_20178086&REV_05\3&11583659&0&FA"
"Location Paths","PCIROOT(0)#PCI(1F02)"

Intel Cougar Point PCH - SMBus Controller [B3]

"Nombre del dispositivo:","Intel Cougar Point PCH - SMBus Controller [B3]"
"Nombre del dispositivo original:","Intel Cougar Point PCH - SMBus Controller [B3]"
"Clase de dispositivo:","SMBus (System Management Bus)"
"ID de revisión:","5 [B3]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:3"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C22&SUBSYS_20178086&REV_05"
"Línea de interrupción:","IRQ3"
"Pin de interrupción:","INTC#"
"Dirección base de memoria 0","FE424000"
"Dirección base de E/S 4","F040"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Fabricante del controlador:","Intel"
"Descripción del controlador:","Controladora de bus SM"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C22&SUBSYS_20178086&REV_05\3&11583659&0&FB"
"Location Paths","PCIROOT(0)#PCI(1F03)"

Adaptador gráfico


Intel HD Graphics 2000

"Chipset de gráficos:","Intel HD Graphics 2000"
"Nombre en clave del chipset de gráficos:","Sandy Bridge GT1"
"Memoria gráfica:","1853666 KBytes"
"Tarjeta grafica:","Intel Sandy Bridge-DT GT1 - Integrated Graphics [D2/J1/Q0] [Intel]"
"Bus de tarjeta gráfica:","PCI"
"GPU Type:","Integrated"
"Gráficos RAMDAC:","Internal"
"Versión de BIOS de video:","2098 PC 14.34  12/10/2010  03:30:45"
"Frecuencia del procesador de gráficos:","848.2 MHz"
"Frecuencia de memoria gráfica:","665.0 MHz"
"Soporte de barra redimensionable (ReBAR):","No soportado"
"ID de hardware:","PCI\VEN_8086&DEV_0102&SUBSYS_20178086&REV_09"
"Ubicación PCI (Bus:Dispositivo:Función):","0:02:0"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) HD Graphics"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","9.17.10.4459"
"Fecha del controlador:","18-May-2016"
"DCH/UWD Driver:","No capaz"
