
CLINICACALERA4

"Nombre del computadora:","CLINICACALERA4"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J5A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB6"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J5A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB7"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J5A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB8"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J5A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB9"
"Tipo de conector externo:","Access Bus (USB)"

Ranuras del sistema


PCIE x16

"Designación de la ranura:","PCIE x16"
"Tipo de ranura:","PCI Express"
"Uso de la ranura:","Vacío"
"Ancho del bus de datos de la ranura:","16x / x16"
"Longitud de la ranura:","Largo"
"Base Bus:Device:Function Number:","-:1:0"

PCIE x1

"Designación de la ranura:","PCIE x1"
"Tipo de ranura:","PCI Express"
"Uso de la ranura:","Vacío"
"Ancho del bus de datos de la ranura:","1x / x1"
"Longitud de la ranura:","Corto"
"Base Bus:Device:Function Number:","-:28:3"

PCIE x1

"Designación de la ranura:","PCIE x1"
"Tipo de ranura:","PCI Express"
"Uso de la ranura:","Vacío"
"Ancho del bus de datos de la ranura:","1x / x1"
"Longitud de la ranura:","Corto"
"Base Bus:Device:Function Number:","-:28:4"

PCIE x1

"Designación de la ranura:","PCIE x1"
"Tipo de ranura:","PCI Express"
"Uso de la ranura:","Vacío"
"Ancho del bus de datos de la ranura:","1x / x1"
"Longitud de la ranura:","Corto"
"Base Bus:Device:Function Number:","-:28:5"

Memoria

"Tamaño de memoria total:","8 GBytes"
"Total Memory Size [MB]:","8192"
"Frecuencia de memoria máxima admitida:","800.0 MHz (4 : 1 Relación)"
"Frecuencia de memoria actual:","665.4 MHz"
"Sincronización actual (tCAS-tRCD-tRP-tRAS):","9-9-10-24"
"Canales de memoria compatibles:","1"
"Canales de memoria activos:","1"
"Read to Read Delay (tRDRD_SG/TrdrdScL) Same Bank Group:","1T"
"Read to Read Delay (tRDRD_DG/TrdrdScDlr) Different Bank Group:","4T"
"Read to Read Delay (tRDRD_DD) Different DIMM:","4T"
"Write to Write Delay (tWRWR_SG/TwrwrScL) Same Bank Group:","1T"
"Write to Write Delay (tWRWR_DG/TwrwrScDlr) Different Bank Group:","4T"
"Write to Write Delay (tWRWR_DD) Different DIMM:","4T"
"Write to Read Delay (tWRRD_SG/TwrrdScL) Same Bank Group:","5T"
"Read to Precharge Delay (tRTP):","5T"
"Write to Precharge Delay (tWTP):","21T"
"Write Recovery Time (tWR):","10T"
"RAS# to RAS# Delay (tRRD):","4T"
"Row Cycle Time (tRC):","33T"
"Four Activate Window (tFAW):","27T"

Hilera: 0 [BANK 0/DIMM 2] - 4 GB PC3-12800 DDR3 SDRAM Elpida EBJ40UG8EFW0-GN-F

"Número de módulo:","0"
"Tamaño del módulo:","4 GBytes"
"Tipo de memoria:","DDR3 SDRAM"
"Tipo de módulo:","Unbuffered DIMM (UDIMM)"
"Velocidad de memoria:","800.0 MHz (DDR3-1600 / PC3-12800)"
"Fabricante del módulo:","Elpida"
"Número de pieza del módulo:","EBJ40UG8EFW0-GN-F"
"Revisión del módulo:","8240"
"Número de serie del módulo:","2938029958 (86C71EAF)"
"Fecha de fabricación del módulo:","Año: 2013, Semana: 16"
"Ubicación de fabricación del módulo:","76"
"Fabricante de SDRAM:","Elpida"
"Verificación / corrección de errores:","Ninguna"
"Bits de dirección de fila:","16"
"Bits de dirección de columna:","10"
"Number Of Banks:","8"
"Densidad del módulo:","4096 Mb"
"Número de rangos:","1"
"Ancho del dispositivo:","8 bits"
"Bus Width:","64 bits"
"Voltaje nominal del módulo (VDD):","1.5 V, 1.35 V"
"Minimum SDRAM Cycle Time (tCKmin):","1.250 ns"
"Latencias de CAS # admitidas:","6, 7, 8, 9, 10, 11"
"Tiempo de latencia mínimo CAS # (tAAmin):","13.125 ns"
"Mínimo RAS # a CAS # Retardo (tRCDmin):","13.125 ns"
"Minimum Row Precharge Time (tRPmin):","13.125 ns"
"Minimum Active to Precharge Time (tRASmin):","35.000 ns"
"Temporización del módulo admitido a 800.0 MHz:","11-11-11-28"
"Temporización del módulo admitido a 666.7 MHz:","9-9-9-24"
"Temporización del módulo admitido a 533.3 MHz:","7-7-7-19"
"Temporización del módulo admitido a 400.0 MHz:","6-6-6-14"
"Minimum Write Recovery Time (tWRmin):","15.000 ns"
"Minimum Row Active to Row Active Delay (tRRDmin):","6.000 ns"
"Minimum Active to Active/Refresh Time (tRCmin):","48.125 ns"
"Minimum Refresh Recovery Time Delay (tRFCmin):","260.000 ns"
"Minimum Internal Write to Read Command Delay (tWTRmin):","7.500 ns"
"Minimum Internal Read to Precharge Command Delay (tRTPmin):","7.500 ns"
"Minimum Four Activate Window Delay Time (tFAWmin):","30.000 ns"
"Partial Array Self Refresh (PASR):","Soportado"
"On-die Thermal Sensor (ODTS) Readout:","No soportado"
"Auto Self Refresh (ASR):","No soportado"
"Extended Temperature 1X Refresh Rate:","No soportado"
"Extended Temperature Range:","Soportado"
"Module Temperature Sensor:","No soportado"
"Pseudo Target Row Refresh (pTRR):","No soportado"
"Altura nominal del módulo:","29 - 30 mm"
"Espesor máximo del módulo (frontal):","1 - 2 mm"
"Espesor máximo del módulo (trasero):","<= 1 mm"

Hilera: 1 [BANK 1/DIMM 1] - 4 GB PC3-12800 DDR3 SDRAM Patriot Memory (PDP Systems) PSD34G16002

"Número de módulo:","1"
"Tamaño del módulo:","4 GBytes"
"Tipo de memoria:","DDR3 SDRAM"
"Tipo de módulo:","Unbuffered DIMM (UDIMM)"
"Velocidad de memoria:","800.0 MHz (DDR3-1600 / PC3-12800)"
"Fabricante del módulo:","Patriot Memory (PDP Systems)"
"Número de pieza del módulo:","PSD34G16002"
"Revisión del módulo:","0"
"Número de serie del módulo:","N/A"
"Fecha de fabricación del módulo:","Año: 2000, Semana: 0"
"Ubicación de fabricación del módulo:","2"
"Fabricante de SDRAM:","Desconocido"
"Verificación / corrección de errores:","Ninguna"
"Bits de dirección de fila:","15"
"Bits de dirección de columna:","10"
"Number Of Banks:","8"
"Densidad del módulo:","2048 Mb"
"Número de rangos:","2"
"Ancho del dispositivo:","8 bits"
"Bus Width:","64 bits"
"Voltaje nominal del módulo (VDD):","1.5 V"
"Minimum SDRAM Cycle Time (tCKmin):","1.250 ns"
"Latencias de CAS # admitidas:","5, 6, 7, 8, 9, 10, 11"
"Tiempo de latencia mínimo CAS # (tAAmin):","13.125 ns"
"Mínimo RAS # a CAS # Retardo (tRCDmin):","13.125 ns"
"Minimum Row Precharge Time (tRPmin):","13.125 ns"
"Minimum Active to Precharge Time (tRASmin):","35.000 ns"
"Temporización del módulo admitido a 800.0 MHz:","11-11-11-28"
"Temporización del módulo admitido a 666.7 MHz:","9-9-9-24"
"Temporización del módulo admitido a 533.3 MHz:","7-7-7-19"
"Temporización del módulo admitido a 400.0 MHz:","6-6-6-14"
"Temporización del módulo admitido a 333.3 MHz:","5-5-5-12"
"Minimum Write Recovery Time (tWRmin):","15.000 ns"
"Minimum Row Active to Row Active Delay (tRRDmin):","6.000 ns"
"Minimum Active to Active/Refresh Time (tRCmin):","49.125 ns"
"Minimum Refresh Recovery Time Delay (tRFCmin):","300.000 ns"
"Minimum Internal Write to Read Command Delay (tWTRmin):","7.500 ns"
"Minimum Internal Read to Precharge Command Delay (tRTPmin):","7.500 ns"
"Minimum Four Activate Window Delay Time (tFAWmin):","40.000 ns"
"Partial Array Self Refresh (PASR):","No soportado"
"On-die Thermal Sensor (ODTS) Readout:","No soportado"
"Auto Self Refresh (ASR):","Soportado"
"Extended Temperature 1X Refresh Rate:","No soportado"
"Extended Temperature Range:","Soportado"
"Module Temperature Sensor:","No soportado"
"Pseudo Target Row Refresh (pTRR):","No soportado"
"Altura nominal del módulo:","29 - 30 mm"
"Espesor máximo del módulo (frontal):","1 - 2 mm"
"Espesor máximo del módulo (trasero):","1 - 2 mm"

Bus


PCI Bus #0


AMD Family 16h Models 00h-0Fh CPU - Root Complex

"Nombre del dispositivo:","AMD Family 16h Models 00h-0Fh CPU - Root Complex"
"Nombre del dispositivo original:","AMD Family 16h Models 00h-0Fh CPU - Root Complex"
"Clase de dispositivo:","Host-to-PCI Bridge"
"ID de revisión:","0"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_1022&DEV_1536&SUBSYS_15361022&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puente PCI de CPU host estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1022&DEV_1536&SUBSYS_15361022&REV_00\3&11583659&0&00"
"Location Paths","PCIROOT(0)#PCI(0000)"

ATI/AMD Radeon HD 8330 (Kabini)

"Nombre del dispositivo:","ATI/AMD Radeon HD 8330 (Kabini)"
"Nombre del dispositivo original:","ATI/AMD Radeon HD 8330 (Kabini)"
"Clase de dispositivo:","VGA Compatible Adapter"
"ID de revisión:","0"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:1:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_1002&DEV_9832&SUBSYS_2171103C&REV_00"
"Versión:","2.0"
"Ancho actual del enlace:","No negociado"
"Velocidad máxima de enlace:","5.0 GT/s"
"Tipo de dispositivo / puerto:","Extremo integrado del complejo raíz"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","Ninguna"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","C0000000"
"Dirección base de memoria 2","D0000000"
"Dirección base de E/S 4","F000"
"Dirección base de memoria 5","FEB00000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Advanced Micro Devices, Inc."
"Descripción del controlador:","AMD Radeon HD 8330"
"Proveedor de controladores:","Advanced Micro Devices, Inc."
"Versión del controlador:","27.20.1034.6"
"Versión del paquete del controlador AMD:","20.10.35.02-200821a-360470C-ATI"
"AMD Software Driver Version:","20.10.35.02"
"Fecha del controlador:","20-Aug-2020"
"DCH/UWD Driver:","Capaz"
"DeviceInstanceId","PCI\VEN_1002&DEV_9832&SUBSYS_2171103C&REV_00\3&11583659&0&08"
"Location Paths","PCIROOT(0)#PCI(0100)"

AMD Family 16h Models 00h-0Fh CPU - Host Bridge

"Nombre del dispositivo:","AMD Family 16h Models 00h-0Fh CPU - Host Bridge"
"Nombre del dispositivo original:","AMD Family 16h Models 00h-0Fh CPU - Host Bridge"
"Clase de dispositivo:","Host-to-PCI Bridge"
"ID de revisión:","0"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:2:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_1022&DEV_1538&SUBSYS_00000000&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puente PCI de CPU host estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1022&DEV_1538&SUBSYS_00000000&REV_00\3&11583659&0&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

AMD Thebe-J/Thebe+/Kabini/Mullins - P2P Bridge for UMI link/P2P PCIe GPP Bridge

"Nombre del dispositivo:","AMD Thebe-J/Thebe+/Kabini/Mullins - P2P Bridge for UMI link/P2P PCIe GPP Bridge"
"Nombre del dispositivo original:","AMD Thebe-J/Thebe+/Kabini/Mullins - P2P Bridge for UMI link/P2P PCIe GPP Bridge"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","0"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:2:5"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_1022&DEV_1439&SUBSYS_00000000&REV_00"
"Versión:","2.0"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","x1"
"Velocidad máxima de enlace:","5.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","No capaz"
"Hot-Plug Surprise:","No capaz"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:","256 - 512 ns"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puerto raíz PCI Express"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3996"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1022&DEV_1439&SUBSYS_12341022&REV_00\3&11583659&0&15"
"Location Paths","PCIROOT(0)#PCI(0205)"

PCI Express x1 Bus #1


RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC

"Nombre del dispositivo:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Nombre del dispositivo original:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Clase de dispositivo:","Ethernet Adapter"
"ID de revisión:","C"
"Número de dirección PCI (Bus: Dispositivo: Función):","1:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_10EC&DEV_8168&SUBSYS_2171103C&REV_0C"
"Versión:","1.1"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","x1"
"Velocidad máxima de enlace:","2.5 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Punto final PCI Express"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de E/S 0","E000"
"Dirección base de memoria 2","FEA00000"
"Dirección base de memoria 4","D0800000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Controladora de la familia Realtek PCIe GbE"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","9.1.410.2015"
"Fecha del controlador:","09-Apr-2015"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8168&SUBSYS_2171103C&REV_0C\01000000684CE00000"
"Location Paths","PCIROOT(0)#PCI(0205)#PCI(0000)"

AMD Bolton - USB 3.0 xHCI Controller [A1]

"Nombre del dispositivo:","AMD Bolton - USB 3.0 xHCI Controller [A1]"
"Nombre del dispositivo original:","AMD Bolton - USB 3.0 xHCI Controller [A1]"
"Clase de dispositivo:","USB xHCI Controller"
"ID de revisión:","1 [A1]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:16:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_1022&DEV_7814&SUBSYS_2171103C&REV_01"
"Versión:","2.0"
"Ancho actual del enlace:","No negociado"
"Velocidad máxima de enlace:","5.0 GT/s"
"Tipo de dispositivo / puerto:","Extremo integrado del complejo raíz"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","Ninguna"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","FEB64000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Versión USB admitida:","3.0"
"Fabricante del controlador:","Controladora de host USB genérico xHCI"
"Descripción del controlador:","Controladora de host USB genérico compatible con xHCI"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3996"
"Fecha del controlador:","17-Jan-2024"
"DeviceInstanceId","PCI\VEN_1022&DEV_7814&SUBSYS_2171103C&REV_01\3&11583659&0&80"
"Location Paths","PCIROOT(0)#PCI(1000)"

USB Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


AMD Hudson-2/3/4 - SATA AHCI Controller

"Nombre del dispositivo:","AMD Hudson-2/3/4 - SATA AHCI Controller"
"Nombre del dispositivo original:","AMD Hudson-2/3/4 - SATA AHCI Controller"
"Clase de dispositivo:","SATA AHCI Controller"
"ID de revisión:","40"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:17:0"
"PCI Latency Timer:","32"
"ID de hardware:","PCI\VEN_1022&DEV_7801&SUBSYS_2171103C&REV_40"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de E/S 0","F140"
"Dirección base de E/S 1","F130"
"Dirección base de E/S 2","F120"
"Dirección base de E/S 3","F110"
"Dirección base de E/S 4","F100"
"Dirección base de memoria 5","FEB6A000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","Capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Velocidad de interfaz admitida:","Gen3 6.0 Gbps"
"Número de puertos:","2"
"Soporte SATA externo:","No capaz"
"Aggressive Link Power Management:","Capaz"
"Staggered Spin-up:","No capaz"
"Mechanical Presence Switch:","Capaz"
"Command Queue Acceleration:","Capaz"
"64-bit Addressing:","Capaz"
"Estado AHCI:","Activado"
"Versión AHCI:","1.30"
"Puertos implementados:","0, 1"
"Estado del puerto:","Dispositivo presente, comunicación Phy establecida"
"Velocidad de interfaz actual:","Gen3 6.0 Gbps"
"Puerto SATA externo:","No capaz"
"Hot Plug:","No capaz"
"Tipo de dispositivo:","SATA"
"Estado del puerto:","Dispositivo presente, comunicación Phy no establecida"
"Velocidad de interfaz actual:","Gen1 1.5 Gbps"
"Puerto SATA externo:","No capaz"
"Hot Plug:","No capaz"
"Tipo de dispositivo:","SATA"
"Fabricante del controlador:","Controladora SATA AHCI estándar"
"Descripción del controlador:","Controladora SATA AHCI estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1022&DEV_7801&SUBSYS_2171103C&REV_40\3&11583659&0&88"
"Location Paths","PCIROOT(0)#PCI(1100)"

AMD Hudson-2/3/4 - USB OHCI Controller

"Nombre del dispositivo:","AMD Hudson-2/3/4 - USB OHCI Controller"
"Nombre del dispositivo original:","AMD Hudson-2/3/4 - USB OHCI Controller"
"Clase de dispositivo:","USB OHCI Controller"
"ID de revisión:","39"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:18:0"
"PCI Latency Timer:","32"
"ID de hardware:","PCI\VEN_1022&DEV_7807&SUBSYS_2171103C&REV_39"
"Línea de interrupción:","IRQ18"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","FEB69000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","Capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Controladora de host USB OpenHCD estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4170"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1022&DEV_7807&SUBSYS_2171103C&REV_39\3&11583659&0&90"
"Location Paths","PCIROOT(0)#PCI(1200)"

USB Root Hub


[Port1] : Lenovo, PID=608C

"Fabricante del dispositivo:","LiteOn"
"Nombre del producto:","Lenovo Calliope USB Keyboard"
"Número de serie:","N/A"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_17EF&PID_608C"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_17EF&PID_608C\5&15AFE10&0&1"
"Location Paths","PCIROOT(0)#PCI(1200)#USBROOT(0)#USB(1)"

[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : Genius, PID=0186

"Fabricante del dispositivo:","KYE SYSTEMS CORP."
"Nombre del producto:","Wired Mouse"
"Número de serie:","N/A"
"Versión USB admitida:","1.10"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_0458&PID_0186"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_0458&PID_0186\5&15AFE10&0&4"
"Location Paths","PCIROOT(0)#PCI(1200)#USBROOT(0)#USB(4)"

AMD Hudson-2/3/4 - USB 2.0 EHCI Controller

"Nombre del dispositivo:","AMD Hudson-2/3/4 - USB 2.0 EHCI Controller"
"Nombre del dispositivo original:","AMD Hudson-2/3/4 - USB 2.0 EHCI Controller"
"Clase de dispositivo:","USB EHCI Controller"
"ID de revisión:","39"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:18:2"
"PCI Latency Timer:","32"
"ID de hardware:","PCI\VEN_1022&DEV_7808&SUBSYS_2171103C&REV_39"
"Línea de interrupción:","IRQ17"
"Pin de interrupción:","INTB#"
"Dirección base de memoria 0","FEB68000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","Capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Versión USB admitida:","2.0"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Controlador de host de PCI a USB mejorado"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4170"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1022&DEV_7808&SUBSYS_2171103C&REV_39\3&11583659&0&92"
"Location Paths","PCIROOT(0)#PCI(1202)"

USB Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


AMD Hudson-2/3/4 - USB OHCI Controller

"Nombre del dispositivo:","AMD Hudson-2/3/4 - USB OHCI Controller"
"Nombre del dispositivo original:","AMD Hudson-2/3/4 - USB OHCI Controller"
"Clase de dispositivo:","USB OHCI Controller"
"ID de revisión:","39"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:19:0"
"PCI Latency Timer:","32"
"ID de hardware:","PCI\VEN_1022&DEV_7807&SUBSYS_2171103C&REV_39"
"Línea de interrupción:","IRQ18"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","FEB67000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","Capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Controladora de host USB OpenHCD estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4170"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1022&DEV_7807&SUBSYS_2171103C&REV_39\3&11583659&0&98"
"Location Paths","PCIROOT(0)#PCI(1300)"

USB Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


AMD Hudson-2/3/4 - USB 2.0 EHCI Controller

"Nombre del dispositivo:","AMD Hudson-2/3/4 - USB 2.0 EHCI Controller"
"Nombre del dispositivo original:","AMD Hudson-2/3/4 - USB 2.0 EHCI Controller"
"Clase de dispositivo:","USB EHCI Controller"
"ID de revisión:","39"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:19:2"
"PCI Latency Timer:","32"
"ID de hardware:","PCI\VEN_1022&DEV_7808&SUBSYS_2171103C&REV_39"
"Línea de interrupción:","IRQ17"
"Pin de interrupción:","INTB#"
"Dirección base de memoria 0","FEB66000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","Capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Versión USB admitida:","2.0"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Controlador de host de PCI a USB mejorado"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4170"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1022&DEV_7808&SUBSYS_2171103C&REV_39\3&11583659&0&9A"
"Location Paths","PCIROOT(0)#PCI(1302)"

USB Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


AMD Hudson-2/3/4 - SMBus and ACPI Controller [A1]

"Nombre del dispositivo:","AMD Hudson-2/3/4 - SMBus and ACPI Controller [A1]"
"Nombre del dispositivo original:","AMD Hudson-2/3/4 - SMBus and ACPI Controller [A1]"
"Clase de dispositivo:","SMBus (System Management Bus)"
"ID de revisión:","3A [A1]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:20:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_1022&DEV_780B&SUBSYS_2171103C&REV_3A"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","Capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","AMD"
"Descripción del controlador:","Controladora de bus SM"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1022&DEV_780B&SUBSYS_2171103C&REV_3A\3&11583659&0&A0"
"Location Paths","PCIROOT(0)#PCI(1400)"

AMD Hudson-2/3/4 - High Definition Audio Controller

"Nombre del dispositivo:","AMD Hudson-2/3/4 - High Definition Audio Controller"
