
COORDINACION-CA

"Nombre del computadora:","COORDINACION-CA"
"Tipo de dispositivo:","Ethernet Adapter"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:","WLAN"
"Tipo de dispositivo:","Unknown"
"Estado del dispositivo:","Activado"

Intel ASF

"Intel ASF Status:","Activado"

Intel AMT

"Soporte de Intel AMT:","Soportado"
"Estado de Intel AMT:","Activado"
"Estado IDE-R:","Activado"
"Estado SOL:","Activado"
"Interfaz de red:","Activado"

Intel vPro

"CPU VT-x Support:","Soportado"
"CPU VT-x Status:","Activado"
"CPU VT-x2 Support:","No soportado"
"CPU VT-x2 Status:","Deshabilitado"
"CPU TXT Support:","No soportado"
"CPU TXT Status:","Deshabilitado"
"CPU VMX Status:","Activado"
"CPU SMX Status:","Deshabilitado"
"Intel ME Status:","Activado"
"Intel OST Firmware Support:","No soportado"
"Intel ASF Firmware Support:","No soportado"
"Intel AMT Pro Firmware Support:","No soportado"
"Intel AMT Basic Firmware Support:","No soportado"
"Intel TPM Firmware Support:","No soportado"
"Intel Castle Peak Support:","No soportado"
"Intel WoX Support:","No soportado"
"Intel Virtualization Engine Support:","No soportado"
"Intel Anti-Theft Technology Support:","No soportado"
"TPM On-board:","No soportado"
"Intel Anti-Theft Technology Enrolled:","No soportado"
"Intel ME Version:","v12.0, Build 1534, Hotfix 49"
"BIOS VT-x Support:","No soportado"
"BIOS VT-d Support:","Soportado"
"BIOS TXT Support:","Soportado"
"BIOS TPM Support:","No soportado"
"BIOS ME Support:","No soportado"
"BIOS VA Extensions Support:","Soportado"
"Intel AT PBA For Recovery Support:","No soportado"
"Intel AT WWAN Support:","No soportado"

Dispositivos de memoria


Matriz de memoria física

"Ubicación de la matriz:","System board"
"Uso de matriz:","System memory"
"Método de detección de errores:","Ninguna"
"Capacidad de memoria:","32 GBytes"
"Dispositivos de memoria:","2"

Dispositivo de memoria

"Ancho total:","64 bits"
"Ancho de datos:","64 bits"
"Tamaño del dispositivo:","8192 MBytes"
"Factor de forma del dispositivo:","SODIMM"
"Localizador de dispositivos:","Bottom-slot 1(left)"
"Bank Locator:","BANK 0"
"Tipo de dispositivo:","DDR4"
"Detalle del tipo de dispositivo:","Synchronous"
"Velocidad de memoria:","2667 MHz"
"Fabricante:","Samsung"
"Número de serie:","371D36AB"
"Número de parte:","M471A1K43CB1-CTD    "
"Asset Tag:","9876543210"

Dispositivo de memoria

"Ancho total:","0 bits"
"Ancho de datos:","0 bits"
"Tamaño del dispositivo:","0 MBytes"
"Factor de forma del dispositivo:","SODIMM"
"Localizador de dispositivos:","Bottom-slot 2(right)"
"Bank Locator:","BANK 2"
"Tipo de dispositivo:","DDR SDRAM"
"Detalle del tipo de dispositivo:","Synchronous"
"Fabricante:",""
"Número de serie:",""
"Número de parte:",""
"Asset Tag:",""

Memory Array Mapped Address

"Dirección inicial:","00000000"
"Dirección final:","007FFFFF"
"Ancho de partición:","1"

Memory Device Mapped Address

"Dirección inicial:","00000000"
"Dirección final:","007FFFFF"
"Partition Row Position:","1"
"Interleave Position:","1"
"Interleave Data Depth:","1"

Conectores de puerto


Keyboard Port

"Tipo de puerto:","Keyboard Port"
"Referencia interna:","J1A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Keyboard"
"Tipo de conector externo:","PS/2"

Mouse Port

"Tipo de puerto:","Mouse Port"
"Referencia interna:","J1A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Mouse"
"Tipo de conector externo:","PS/2"

Video Port

"Tipo de puerto:","Video Port"
"Referencia interna:","J2A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","TV OUT"
"Tipo de conector externo:","Mini-DIN"

Video Port

"Tipo de puerto:","Video Port"
"Referencia interna:","J2A2"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","CRT"
"Tipo de conector externo:","DB-15 pin female"

Serial Port 16550A Compatible

"Tipo de puerto:","Serial Port 16550A Compatible"
"Referencia interna:","J2A2"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","COM 1"
"Tipo de conector externo:","DB-9 pin male"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J3A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J3A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J3A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J5A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J5A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J5A2"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB"
"Tipo de conector externo:","Access Bus (USB)"

Network Port

"Tipo de puerto:","Network Port"
"Referencia interna:","J5A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Network"
"Tipo de conector externo:","RJ-45"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J9G2"
"Tipo de conector interno:","On Board Floppy"
"Referencia externa:","OnBoard Floppy Type"
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J7J1"
"Tipo de conector interno:","On Board IDE"
"Referencia externa:","OnBoard Primary IDE"
"Tipo de conector externo:","Ninguna"

Audio Port

"Tipo de puerto:","Audio Port"
"Referencia interna:","J30"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Microphone In"
"Tipo de conector externo:","Mini-jack (headphones)"

Audio Port

"Tipo de puerto:","Audio Port"
"Referencia interna:","J30"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Line In"
"Tipo de conector externo:","Mini-jack (headphones)"

Audio Port

"Tipo de puerto:","Audio Port"
"Referencia interna:","J30"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Speaker Out"
"Tipo de conector externo:","Mini-jack (headphones)"

SATA

"Tipo de puerto:","SATA"
"Referencia interna:","Ctrl0Port0"
"Tipo de conector interno:","SAS/SATA Plug Receptacle"
"Referencia externa:","Primary HDD Bay*"
"Tipo de conector externo:","SAS/SATA Plug Receptacle"

SATA

"Tipo de puerto:","SATA"
"Referencia interna:","Ctrl0Port1"
"Tipo de conector interno:","SAS/SATA Plug Receptacle"
"Referencia externa:","Secondary HDD Bay*"
"Tipo de conector externo:","SAS/SATA Plug Receptacle"

Ranuras del sistema


J6C1

"Designación de la ranura:","J6C1"
"Tipo de ranura:","PCI Express x1"
"Uso de la ranura:","Vacío"
"Ancho del bus de datos de la ranura:","1x / x1"
"Longitud de la ranura:","Desconocido"
"Base Bus:Device:Function Number:","0:28:0"

J6D2

"Designación de la ranura:","J6D2"
"Tipo de ranura:","PCI Express x1"
"Uso de la ranura:","Vacío"
"Ancho del bus de datos de la ranura:","1x / x1"
"Longitud de la ranura:","Desconocido"
"Base Bus:Device:Function Number:","0:28:1"

J7C1

"Designación de la ranura:","J7C1"
"Tipo de ranura:","PCI Express x1"
"Uso de la ranura:","Vacío"
"Ancho del bus de datos de la ranura:","1x / x1"
"Longitud de la ranura:","Desconocido"
"Base Bus:Device:Function Number:","0:28:2"

J7D1

"Designación de la ranura:","J7D1"
"Tipo de ranura:","PCI Express x1"
"Uso de la ranura:","Vacío"
"Ancho del bus de datos de la ranura:","1x / x1"
"Longitud de la ranura:","Desconocido"
"Base Bus:Device:Function Number:","0:28:3"

J8C1

"Designación de la ranura:","J8C1"
"Tipo de ranura:","PCI Express x4"
"Uso de la ranura:","Vacío"
"Ancho del bus de datos de la ranura:","4x / x4"
"Longitud de la ranura:","Desconocido"
"Base Bus:Device:Function Number:","0:28:4"

Intel ME

"ME Current Working State:","Normal"
"Manufacturing Mode:","Not Active"
"ME Current Operation Mode:","Normal"
"Boot Guard Status:","Activado"
"Boot Guard Verified Boot Policy:","Deshabilitado"
"Boot Guard Measured Boot Policy:","Deshabilitado"
"Intel ME Version:","12.0, Build 1534, Hot Fix 49"
"Intel ME Recovery Image Version:","12.0, Build 1534, Hot Fix 49"
"Intel ME FITC Version:","12.0, Build 1536, Hot Fix 49"
"Full Network Manageability:","No capaz"
"Standard Network Manageability:","No capaz"
"Manageability (AMT):","No capaz"
"Small Business Advantage:","No capaz"
"Intel Integrated Touch:","No capaz"
"Intel Anti-Theft:","No capaz"
"Capability Licensing Service:","Capaz"
"Virtualization Engine:","No capaz"
"Intel Sensor Hub (ISH):","No capaz"
"ICC Over Clocking:","No capaz"
"Protected Audio Video Path (PAVP):","Capaz"
"Network Frame Forwarder (NFF):","No capaz"
"Remote PC Assist (RPAT):","Capaz"
"IPV6:","No capaz"
"KVM Remote Control:","No capaz"
"Outbreak Containment Heuristic (OCH):","No capaz"
"Dynamic Application Loader (DAL):","Capaz"
"Cipher Transport Layer (TLS):","No capaz"
"Wireless LAN (WLAN):","No capaz"
"Platform Trust Technology (PTT):","Capaz"
"Near Field Communication (NFC):","No capaz"
"Full Network Manageability:","Deshabilitado"
"Standard Network Manageability:","Deshabilitado"
"Manageability (AMT):","Deshabilitado"
"Small Business Advantage:","No capaz"
"MEI3:","No capaz"
"Intel Anti-Theft:","Deshabilitado"
"Capability Licensing Service:","Activado"
"Virtualization Engine:","Deshabilitado"
"Intel Sensor Hub (ISH):","Deshabilitado"
"ICC Over Clocking:","Deshabilitado"
"Protected Audio Video Path (PAVP):","Activado"
"Network Frame Forwarder (NFF):","No capaz"
"Remote PC Assist (RPAT):","Activado"
"IPV6:","Deshabilitado"
"KVM Remote Control:","Deshabilitado"
"Outbreak Containment Heuristic (OCH):","Deshabilitado"
"Dynamic Application Loader (DAL):","Capaz"
"Cipher Transport Layer (TLS):","Deshabilitado"
"Wireless LAN (WLAN):","Deshabilitado"
"Platform Trust Technology (PTT):","Activado"
"Near Field Communication (NFC):","Deshabilitado"
"Platform Target Usage Type:","Mobile"
"SKU:","Regular SKU"
"ME Firmware Image Type:","Consumer SKU Firmware"
"Platform Brand:","None"
"Host ME Region Flash Protection Override (HMRFPO) Status:","Disabled"

Memoria

"Tamaño de memoria total:","8 GBytes"
"Total Memory Size [MB]:","8192"
"Frecuencia de memoria máxima admitida:","1200.0 MHz"
"Frecuencia de memoria actual:","1197.1 MHz"
"Sincronización actual (tCAS-tRCD-tRP-tRAS):","17-17-17-39"
"Canales de memoria compatibles:","2"
"Canales de memoria activos:","1"
"Tasa de comando (CR):","2T"
"Read to Read Delay (tRDRD_SG/TrdrdScL) Same Bank Group:","6T"
"Read to Read Delay (tRDRD_DG/TrdrdScDlr) Different Bank Group:","4T"
"Read to Read Delay (tRDRD_SD) Same DIMM:","6T"
"Read to Read Delay (tRDRD_DD) Different DIMM:","7T"
"Write to Write Delay (tWRWR_SG/TwrwrScL) Same Bank Group:","6T"
"Write to Write Delay (tWRWR_DG/TwrwrScDlr) Different Bank Group:","4T"
"Write to Write Delay (tWRWR_SD) Same DIMM:","7T"
"Write to Write Delay (tWRWR_DD) Different DIMM:","7T"
"Read to Write Delay (tRDWR_SG/TrdwrScL) Same Bank Group:","9T"
"Read to Write Delay (tRDWR_DG/TrdwrScDlr) Different Bank Group:","9T"
"Read to Write Delay (tRDWR_SD) Same DIMM:","10T"
"Read to Write Delay (tRDWR_DD) Different DIMM:","11T"
"Write to Read Delay (tWRRD_SG/TwrrdScL) Same Bank Group:","32T"
"Write to Read Delay (tWRRD_DG/TwrrdScDlr) Different Bank Group:","24T"
"Write to Read Delay (tWRRD_SD) Same DIMM:","6T"
"Write to Read Delay (tWRRD_DD) Different DIMM:","6T"
"Read to Precharge Delay (tRTP):","9T"
"Write to Precharge Delay (tWTP):","30T"
"Write Recovery Time (tWR):","19T"
"RAS# to RAS# Delay (tRRD_L):","6T"
"RAS# to RAS# Delay (tRRD_S):","18T"
"Row Cycle Time (tRC):","56T"
"Refresh Cycle Time (tRFC):","420T"
"Four Activate Window (tFAW):","26T"

Hilera: 0 [BANK 0/Bottom-slot 1(left)] - 8 GB PC4-21300 DDR4 SDRAM Samsung M471A1K43CB1-CTD

"Número de módulo:","0"
"Tamaño del módulo:","8 GBytes"
"Tipo de memoria:","DDR4 SDRAM"
"Tipo de módulo:","SO-DIMM"
"Velocidad de memoria:","1333.3 MHz (DDR4-2666 / PC4-21300)"
"Fabricante del módulo:","Samsung"
"Número de pieza del módulo:","M471A1K43CB1-CTD"
"Revisión del módulo:","0.0"
"Número de serie del módulo:","2872450359 (371D36AB)"
"Fecha de fabricación del módulo:","Año: 2020, Semana: 17"
"Ubicación de fabricación del módulo:","2"
"Fabricante de SDRAM:","Samsung"
"DRAM Steppping:","0.0"
"Verificación / corrección de errores:","Ninguna"
"Bits de dirección de fila:","16"
"Bits de dirección de columna:","10"
"Densidad del módulo:","8192 Mb"
"Número de rangos:","1"
"Número de grupos de bancos:","4"
"Ancho del dispositivo:","8 bits"
"Bus Width:","64 bits"
"Die Count:","1"
"Voltaje nominal del módulo (VDD):","1.2 V"
"Tiempo de ciclo mínimo de SDRAM (tCKAVGmin):","0.75000 ns (1333 MHz)"
"Tiempo máximo de ciclo de SDRAM (tCKAVGmax):","1.60000 ns"
"Latencias de CAS # admitidas:","10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
"Tiempo de latencia mínimo CAS # (tAAmin):","13.750 ns"
"Mínimo RAS # a CAS # Retardo (tRCDmin):","13.750 ns"
"Minimum Row Precharge Time (tRPmin):","13.750 ns"
"Minimum Active to Precharge Time (tRASmin):","32.000 ns"
"Temporización del módulo admitido a 1333.3 MHz:","19-19-19-43"
"Temporización del módulo admitido a 1200.0 MHz:","17-17-17-39"
"Temporización del módulo admitido a 1066.7 MHz:","15-15-15-35"
"Temporización del módulo admitido a 933.3 MHz:","13-13-13-30"
"Temporización del módulo admitido a 800.0 MHz:","11-11-11-26"
"Temporización del módulo admitido a 666.7 MHz:","10-10-10-22"
"Minimum Active to Active/Refresh Time (tRCmin):","45.750 ns"
"Minimum Refresh Recovery Time Delay (tRFC1min):","350.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC2min):","260.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC4min):","160.000 ns"
"Minimum Four Activate Window Delay Time (tFAWmin):","21.000 ns"
"Minimum Active to Active Delay Time - Different Bank Group (tRRD_Smin):","3.000 ns"
"Minimum Active to Active Delay Time - Same Bank Group (tRRD_Lmin):","4.900 ns"
"Minimum CAS to CAS Delay Time - Same Bank Group (tCCD_Lmin):","5.000 ns"
"Sensor de temperatura del módulo (TSOD):","No soportado"
"Altura nominal del módulo:","29 - 30 mm"
"Espesor máximo del módulo (frontal):","1 - 2 mm"
"Espesor máximo del módulo (trasero):","1 - 2 mm"
"Address Mapping from Edge Connector to DRAM:","Standard"

Bus


PCI Bus #0


Intel Whiskey Lake-U 4 - Host Bridge/DRAM Controller [V0]

"Nombre del dispositivo:","Intel Whiskey Lake-U 4 - Host Bridge/DRAM Controller [V0]"
"Nombre del dispositivo original:","Intel Whiskey Lake-U 4 - Host Bridge/DRAM Controller [V0]"
"Clase de dispositivo:","Host-to-PCI Bridge"
"ID de revisión:","C [V0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_3E34&SUBSYS_852C103C&REV_0C"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) Host Bridge/DRAM Registers - 3E34"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.14.7"
"DeviceInstanceId","PCI\VEN_8086&DEV_3E34&SUBSYS_852C103C&REV_0C\3&11583659&0&00"
"Location Paths","PCIROOT(0)#PCI(0000)"

Intel UHD Graphics 620 (Whiskey Lake-U GT2)

"Nombre del dispositivo:","Intel UHD Graphics 620 (Whiskey Lake-U GT2)"
"Nombre del dispositivo original:","Intel UHD Graphics 620 (Whiskey Lake-U GT2)"
"Clase de dispositivo:","VGA Compatible Adapter"
"ID de revisión:","2"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:2:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_3EA0&SUBSYS_852C103C&REV_02"
"Versión:","2.0"
"Ancho actual del enlace:","No negociado"
"Velocidad máxima de enlace:","5.0 GT/s"
"Tipo de dispositivo / puerto:","Extremo integrado del complejo raíz"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","Ninguna"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","A0000000"
"Dirección base de memoria 2","90000000"
"Dirección base de E/S 4","5000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) UHD Graphics 620"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","27.20.100.8853"
"Fecha del controlador:","13-Oct-2020"
"DCH/UWD Driver:","Capaz"
"DeviceInstanceId","PCI\VEN_8086&DEV_3EA0&SUBSYS_852C103C&REV_02\3&11583659&0&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Dynamic Platform & Thermal Framework Processor Participant

"Nombre del dispositivo:","Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Dynamic Platform & Thermal Framework Processor Participant"
"Nombre del dispositivo original:","Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Dynamic Platform & Thermal Framework Processor Participant"
"Clase de dispositivo:","Other Data Acquisition/Signal Processing Controller"
"ID de revisión:","C"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:4:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1903&SUBSYS_852C103C&REV_0C"
"Línea de interrupción:","IRQ16"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","A1310000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Fabricante del controlador:","Intel"
"Descripción del controlador:","Intel(R) Dynamic Tuning Processor Participant"
"Proveedor de controladores:","Intel"
"Versión del controlador:","8.7.10401.16510"
"Fecha del controlador:","20-Aug-2020"
"DeviceInstanceId","PCI\VEN_8086&DEV_1903&SUBSYS_852C103C&REV_0C\3&11583659&0&20"
"Location Paths","PCIROOT(0)#PCI(0400)"

Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Gaussian Mixture Model

"Nombre del dispositivo:","Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Gaussian Mixture Model"
"Nombre del dispositivo original:","Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Gaussian Mixture Model"
"Clase de dispositivo:","Unknown Peripheral Device"
"ID de revisión:","0"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:8:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1911&SUBSYS_852C103C&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","A1320000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) Gaussian Mixture Model - 1911"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.7.3"
"DeviceInstanceId","PCI\VEN_8086&DEV_1911&SUBSYS_852C103C&REV_00\3&11583659&0&40"
"Location Paths","PCIROOT(0)#PCI(0800)"

Intel Cannon Lake-LP - Thermal Subsystem [D0]

"Nombre del dispositivo:","Intel Cannon Lake-LP - Thermal Subsystem [D0]"
"Nombre del dispositivo original:","Intel Cannon Lake-LP - Thermal Subsystem [D0]"
"Clase de dispositivo:","Other Data Acquisition/Signal Processing Controller"
"ID de revisión:","30 [D0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:18:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_9DF9&SUBSYS_852C103C&REV_30"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","A1321000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) Thermal Subsystem - 9DF9"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.15.6"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DF9&SUBSYS_852C103C&REV_30\3&11583659&0&90"
"Location Paths","PCIROOT(0)#PCI(1200)"

Intel Cannon Lake-LP - USB 3.1 xHCI Host Controller [D0]

"Nombre del dispositivo:","Intel Cannon Lake-LP - USB 3.1 xHCI Host Controller [D0]"
"Nombre del dispositivo original:","Intel Cannon Lake-LP - USB 3.1 xHCI Host Controller [D0]"
"Clase de dispositivo:","USB xHCI Controller"
"ID de revisión:","30 [D0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:20:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_9DED&SUBSYS_852C103C&REV_30"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","A1300000"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Versión USB admitida:","3.1"
"Fabricante del controlador:","Controladora de host USB genérico xHCI"
"Descripción del controlador:","Controladora de host USB genérico compatible con xHCI"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3996"
"Fecha del controlador:","17-Jan-2024"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DED&SUBSYS_852C103C&REV_30\3&11583659&0&A0"
"Location Paths","PCIROOT(0)#PCI(1400)"

USB Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port5] : No Device Connected


[Port6] : Quanta Computer, PID=5321

"Fabricante del dispositivo:","Quanta Computer"
"Nombre del producto:","Quanta Computer, PID=5321"
"Número de serie:","-"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_0408&PID_5321"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_0408&PID_5321\0X0001"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(6)"

[Port7] : No Device Connected


[Port8] : No Device Connected


[Port9] : No Device Connected


[Port10] : Realtek Semiconductor Realtek Bluetooth 4.2 Adapter

"Fabricante del dispositivo:","Realtek Semiconductor"
"Nombre del producto:","Realtek Semiconductor Realtek Bluetooth 4.2 Adapter"
"Número de serie:","-"
"Versión USB admitida:","1.10"
"Velocidad del dispositivo USB:","USB 1.1 Full-speed"
"Descripción del controlador:","Realtek Bluetooth 4.2 Adapter"
"ID de hardware:","USB\VID_0BDA&PID_B009"
"Fabricante del controlador:","Realtek Semiconductor Corp."
"Descripción del controlador:","Realtek Bluetooth 4.2 Adapter"
"Proveedor de controladores:","Realtek Semiconductor Corp."
"Versión del controlador:","1.8.1027.3000"
"Fecha del controlador:","29-Apr-2020"
"DeviceInstanceId","USB\VID_0BDA&PID_B009\00E04C000001"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(10)"

[Port11] : No Device Connected


[Port12] : No Device Connected


[Port13] : No Device Connected


[Port14] : No Device Connected


[Port15] : No Device Connected


[Port16] : No Device Connected


[Port17] : No Device Connected


[Port18] : No Device Connected


Intel Cannon Lake-LP - Shared SRAM [D0]

"Nombre del dispositivo:","Intel Cannon Lake-LP - Shared SRAM [D0]"
"Nombre del dispositivo original:","Intel Cannon Lake-LP - Shared SRAM [D0]"
"Clase de dispositivo:","RAM/Memory Controller"
"ID de revisión:","30 [D0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:20:2"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_9DEF&SUBSYS_852C103C&REV_30"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Dirección base de memoria 0","A131C000"
"Dirección base de memoria 2","A1322000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Controladora PCI de RAM estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DEF&SUBSYS_852C103C&REV_30\3&11583659&0&A2"
"Location Paths","PCIROOT(0)#PCI(1402)"

Intel Cannon Lake-LP - LPSS: I2C Controller #0 [D0]

"Nombre del dispositivo:","Intel Cannon Lake-LP - LPSS: I2C Controller #0 [D0]"
"Nombre del dispositivo original:","Intel Cannon Lake-LP - LPSS: I2C Controller #0 [D0]"
"Clase de dispositivo:","Other Serial Bus Controller"
"ID de revisión:","30 [D0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:21:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_9DE8&SUBSYS_852C103C&REV_30"
"Línea de interrupción:","IRQ16"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","0"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Controladora de host Intel(R) Serial IO I2C: 9DE8"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","30.100.1929.1"
"Fecha del controlador:","14-Jul-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_9DE8&SUBSYS_852C103C&REV_30\3&11583659&0&A8"
"Location Paths","PCIROOT(0)#PCI(1500)"

Intel Cannon Lake-LP - LPSS: I2C Controller #1 [D0]

"Nombre del dispositivo:","Intel Cannon Lake-LP - LPSS: I2C Controller #1 [D0]"
"Nombre del dispositivo original:","Intel Cannon Lake-LP - LPSS: I2C Controller #1 [D0]"
"Clase de dispositivo:","Other Serial Bus Controller"
"ID de revisión:","30 [D0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:21:1"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_9DE9&SUBSYS_852C103C&REV_30"
"Línea de interrupción:","IRQ17"
"Pin de interrupción:","INTB#"
