
FACTURACIONCALE

"Nombre del computadora:","FACTURACIONCALE"
"Tamaño de memoria total:","8 GBytes"
"Total Memory Size [MB]:","8192"
"Frecuencia de memoria máxima admitida:","800.0 MHz"
"Frecuencia de memoria actual:","798.3 MHz (8 : 1 Relación)"
"Sincronización actual (tCAS-tRCD-tRP-tRAS):","11-11-11-28"
"Canales de memoria compatibles:","2"
"Canales de memoria activos:","2"
"Tasa de comando (CR):","1T"
"Read to Read Delay (tRDRD_DG/TrdrdScDlr) Different Bank Group:","1T"
"Read to Read Delay (tRDRD_DD) Different DIMM:","3T"
"Write to Write Delay (tWRWR_DG/TwrwrScDlr) Different Bank Group:","3T"
"Write to Write Delay (tWRWR_DD) Different DIMM:","3T"
"Read to Write Delay (tRDWR_SG/TrdwrScL) Same Bank Group:","3T"
"Read to Write Delay (tRDWR_DG/TrdwrScDlr) Different Bank Group:","5T"
"Read to Write Delay (tRDWR_DD) Different DIMM:","5T"
"Write to Read Delay (tWRRD_SG/TwrrdScL) Same Bank Group:","6T"
"Write to Read Delay (tWRRD_DG/TwrrdScDlr) Different Bank Group:","1T"
"Write to Read Delay (tWRRD_DD) Different DIMM:","1T"
"Read to Precharge Delay (tRTP):","6T"
"Write to Precharge Delay (tWTP):","23T"
"Write Recovery Time (tWR):","12T"
"RAS# to RAS# Delay (tRRD):","5T"
"Row Cycle Time (tRC):","39T"
"Refresh Cycle Time (tRFC):","208T"
"Four Activate Window (tFAW):","24T"

Hilera: 0 [BANK 0/ChannelA-DIMM0] - 4 GB PC3-12800 DDR3 SDRAM SK Hynix HMT351S6EFR8C-PB

"Número de módulo:","0"
"Tamaño del módulo:","4 GBytes"
"Tipo de memoria:","DDR3 SDRAM"
"Tipo de módulo:","SO-DIMM"
"Velocidad de memoria:","800.0 MHz (DDR3-1600 / PC3-12800)"
"Fabricante del módulo:","SK Hynix"
"Número de pieza del módulo:","HMT351S6EFR8C-PB"
"Revisión del módulo:","12366"
"Número de serie del módulo:","1377970188 (0C282252)"
"Fecha de fabricación del módulo:","Año: 2013, Semana: 7"
"Ubicación de fabricación del módulo:","1"
"Fabricante de SDRAM:","SK Hynix"
"Verificación / corrección de errores:","Ninguna"
"Bits de dirección de fila:","15"
"Bits de dirección de columna:","10"
"Number Of Banks:","8"
"Densidad del módulo:","2048 Mb"
"Número de rangos:","2"
"Ancho del dispositivo:","8 bits"
"Bus Width:","64 bits"
"Voltaje nominal del módulo (VDD):","1.5 V"
"Minimum SDRAM Cycle Time (tCKmin):","1.250 ns"
"Latencias de CAS # admitidas:","5, 6, 7, 8, 9, 10, 11"
"Tiempo de latencia mínimo CAS # (tAAmin):","13.125 ns"
"Mínimo RAS # a CAS # Retardo (tRCDmin):","13.125 ns"
"Minimum Row Precharge Time (tRPmin):","13.125 ns"
"Minimum Active to Precharge Time (tRASmin):","35.000 ns"
"Temporización del módulo admitido a 800.0 MHz:","11-11-11-28"
"Temporización del módulo admitido a 666.7 MHz:","9-9-9-24"
"Temporización del módulo admitido a 533.3 MHz:","7-7-7-19"
"Temporización del módulo admitido a 400.0 MHz:","6-6-6-14"
"Temporización del módulo admitido a 333.3 MHz:","5-5-5-12"
"Minimum Write Recovery Time (tWRmin):","15.000 ns"
"Minimum Row Active to Row Active Delay (tRRDmin):","6.000 ns"
"Minimum Active to Active/Refresh Time (tRCmin):","48.125 ns"
"Minimum Refresh Recovery Time Delay (tRFCmin):","160.000 ns"
"Minimum Internal Write to Read Command Delay (tWTRmin):","7.500 ns"
"Minimum Internal Read to Precharge Command Delay (tRTPmin):","7.500 ns"
"Minimum Four Activate Window Delay Time (tFAWmin):","30.000 ns"
"Partial Array Self Refresh (PASR):","No soportado"
"On-die Thermal Sensor (ODTS) Readout:","No soportado"
"Auto Self Refresh (ASR):","No soportado"
"Extended Temperature 1X Refresh Rate:","No soportado"
"Extended Temperature Range:","Soportado"
"Module Temperature Sensor:","No soportado"
"Pseudo Target Row Refresh (pTRR):","No soportado"
"Altura nominal del módulo:","29 - 30 mm"
"Espesor máximo del módulo (frontal):","1 - 2 mm"
"Espesor máximo del módulo (trasero):","1 - 2 mm"

Hilera: 2 [BANK 1/ChannelB-DIMM0] - 4 GB PC3-12800 DDR3 SDRAM Ramaxel Technology RMT3170MP68F9F1600

"Número de módulo:","2"
"Tamaño del módulo:","4 GBytes"
"Tipo de memoria:","DDR3 SDRAM"
"Tipo de módulo:","SO-DIMM"
"Velocidad de memoria:","800.0 MHz (DDR3-1600 / PC3-12800)"
"Fabricante del módulo:","Ramaxel Technology"
"Número de pieza del módulo:","RMT3170MP68F9F1600"
"Revisión del módulo:","65"
"Número de serie del módulo:","476692803 (43C1691C)"
"Fecha de fabricación del módulo:","Año: 2016, Semana: 46"
"Ubicación de fabricación del módulo:","1"
"Fabricante de SDRAM:","Micron"
"Verificación / corrección de errores:","Ninguna"
"Bits de dirección de fila:","16"
"Bits de dirección de columna:","10"
"Number Of Banks:","8"
"Densidad del módulo:","4096 Mb"
"Número de rangos:","1"
"Ancho del dispositivo:","8 bits"
"Bus Width:","64 bits"
"Voltaje nominal del módulo (VDD):","1.5 V, 1.35 V"
"Minimum SDRAM Cycle Time (tCKmin):","1.250 ns"
"Latencias de CAS # admitidas:","5, 6, 7, 8, 9, 10, 11"
"Tiempo de latencia mínimo CAS # (tAAmin):","13.125 ns"
"Mínimo RAS # a CAS # Retardo (tRCDmin):","13.125 ns"
"Minimum Row Precharge Time (tRPmin):","13.125 ns"
"Minimum Active to Precharge Time (tRASmin):","35.000 ns"
"Temporización del módulo admitido a 800.0 MHz:","11-11-11-28"
"Temporización del módulo admitido a 666.7 MHz:","9-9-9-24"
"Temporización del módulo admitido a 533.3 MHz:","7-7-7-19"
"Temporización del módulo admitido a 400.0 MHz:","6-6-6-14"
"Temporización del módulo admitido a 333.3 MHz:","5-5-5-12"
"Minimum Write Recovery Time (tWRmin):","15.000 ns"
"Minimum Row Active to Row Active Delay (tRRDmin):","6.000 ns"
"Minimum Active to Active/Refresh Time (tRCmin):","48.125 ns"
"Minimum Refresh Recovery Time Delay (tRFCmin):","260.000 ns"
"Minimum Internal Write to Read Command Delay (tWTRmin):","7.500 ns"
"Minimum Internal Read to Precharge Command Delay (tRTPmin):","7.500 ns"
"Minimum Four Activate Window Delay Time (tFAWmin):","30.000 ns"
"Partial Array Self Refresh (PASR):","No soportado"
"On-die Thermal Sensor (ODTS) Readout:","No soportado"
"Auto Self Refresh (ASR):","Soportado"
"Extended Temperature 1X Refresh Rate:","No soportado"
"Extended Temperature Range:","Soportado"
"Module Temperature Sensor:","No soportado"
"Pseudo Target Row Refresh (pTRR):","Soportado"
"Maximum Active Window (MAW):","64 mS"
"Unlimited MAC:","Soportado"
"Maximum Active Window (MAW):","Unknown (not tested)"
"Altura nominal del módulo:","29 - 30 mm"
"Espesor máximo del módulo (frontal):","1 - 2 mm"
"Espesor máximo del módulo (trasero):","1 - 2 mm"

Bus


PCI Bus #0


Intel Ivy Bridge-DT - Host Bridge/DRAM Controller [E1/L1/N0/P0]

"Nombre del dispositivo:","Intel Ivy Bridge-DT - Host Bridge/DRAM Controller [E1/L1/N0/P0]"
"Nombre del dispositivo original:","Intel Ivy Bridge-DT - Host Bridge/DRAM Controller [E1/L1/N0/P0]"
"Clase de dispositivo:","Host-to-PCI Bridge"
"ID de revisión:","9 [E1/L1/N0/P0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_0150&SUBSYS_18DD103C&REV_09"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Fabricante del controlador:","Intel"
"Descripción del controlador:","Controladora de memoria"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_0150&SUBSYS_18DD103C&REV_09\3&11583659&0&00"
"Location Paths","PCIROOT(0)#PCI(0000)"

Intel Ivy Bridge-DT GT1 - Integrated Graphics [E1/L1/N0/P0]

"Nombre del dispositivo:","Intel Ivy Bridge-DT GT1 - Integrated Graphics [E1/L1/N0/P0]"
"Nombre del dispositivo original:","Intel Ivy Bridge-DT GT1 - Integrated Graphics [E1/L1/N0/P0]"
"Clase de dispositivo:","VGA Compatible Adapter"
"ID de revisión:","9 [E1/L1/N0/P0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:2:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_0152&SUBSYS_18DD103C&REV_09"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","F7800000"
"Dirección base de memoria 2","E0000000"
"Dirección base de E/S 4","F000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) HD Graphics"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","10.18.10.4252"
"Fecha del controlador:","09-Jul-2015"
"DCH/UWD Driver:","No capaz"
"DeviceInstanceId","PCI\VEN_8086&DEV_0152&SUBSYS_18DD103C&REV_09\3&11583659&0&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Intel Cougar Point PCH - Manageability Engine Interface 1 [B2]

"Nombre del dispositivo:","Intel Cougar Point PCH - Manageability Engine Interface 1 [B2]"
"Nombre del dispositivo original:","Intel Cougar Point PCH - Manageability Engine Interface 1 [B2]"
"Clase de dispositivo:","Other Communication Device"
"ID de revisión:","4 [B2]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:22:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C3A&SUBSYS_18DD103C&REV_04"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","FEDB0000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C3A&SUBSYS_18DD103C&REV_04\3&11583659&0&B0"
"Location Paths","PCIROOT(0)#PCI(1600)"

Intel Cougar Point PCH - USB EHCI #2 Controller [B3]

"Nombre del dispositivo:","Intel Cougar Point PCH - USB EHCI #2 Controller [B3]"
"Nombre del dispositivo original:","Intel Cougar Point PCH - USB EHCI #2 Controller [B3]"
"Clase de dispositivo:","USB EHCI Controller"
"ID de revisión:","5 [B3]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:26:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C2D&SUBSYS_18DD103C&REV_05"
"Línea de interrupción:","IRQ16"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","F7D08000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Versión USB admitida:","2.0"
"Fabricante del controlador:","Intel"
"Descripción del controlador:","Controladora de host mejorada USB de la familia Chipset Intel(R) serie 6/serie C200 - 1C2D"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4170"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C2D&SUBSYS_18DD103C&REV_05\3&11583659&0&D0"
"Location Paths","PCIROOT(0)#PCI(1A00)"

USB Root Hub


[Port1] : Intel Integrated Rate Matching Hub

"Fabricante del dispositivo:","Intel"
"Nombre del producto:","Intel Integrated Rate Matching Hub"
"Número de serie:",""
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Generic USB Hub"
"ID de hardware:","USB\VID_8087&PID_0024"
"Fabricante del controlador:","(Generic USB Hub)"
"Descripción del controlador:","Generic USB Hub"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_8087&PID_0024\5&5FCA22B&0&1"
"Location Paths","PCIROOT(0)#PCI(1A00)#USBROOT(0)#USB(1)"

[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : Chicony Electronics, PID=B347

"Fabricante del dispositivo:","Chicony Electronics"
"Nombre del producto:","Chicony Electronics, PID=B347"
"Número de serie:","-"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_04F2&PID_B347"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_04F2&PID_B347\200901010001"
"Location Paths","PCIROOT(0)#PCI(1A00)#USBROOT(0)#USB(1)#USB(4)"

[Port2] : No Device Connected


Intel Cougar Point PCH - High Definition Audio Controller [B3]

"Nombre del dispositivo:","Intel Cougar Point PCH - High Definition Audio Controller [B3]"
"Nombre del dispositivo original:","Intel Cougar Point PCH - High Definition Audio Controller [B3]"
"Clase de dispositivo:","High Definition Audio"
"ID de revisión:","5 [B3]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:27:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C20&SUBSYS_18DD103C&REV_05"
"Versión:","1.1"
"Ancho actual del enlace:","No negociado"
"Tipo de dispositivo / puerto:","Extremo integrado del complejo raíz"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","Ninguna"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","IRQ22"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","FEAFC000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Microsoft"
"Descripción del controlador:","Controladora de High Definition Audio"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","18-Oct-2023"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C20&SUBSYS_18DD103C&REV_05\3&11583659&0&D8"
"Location Paths","PCIROOT(0)#PCI(1B00)"

Intel Cougar Point PCH - PCI Express Port 1 [B3]

"Nombre del dispositivo:","Intel Cougar Point PCH - PCI Express Port 1 [B3]"
"Nombre del dispositivo original:","Intel Cougar Point PCH - PCI Express Port 1 [B3]"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","B5 [B3]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:28:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C10&SUBSYS_00000000&REV_B5"
"Versión:","2.0"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","No negociado"
"Velocidad máxima de enlace:","5.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","No capaz"
"Hot-Plug Surprise:","No capaz"
"Límite de potencia de la ranura:","10.000 W"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L0s and L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","IRQ11"
"Pin de interrupción:","INTA#"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puente PCI a PCI"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3996"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C10&SUBSYS_18DD103C&REV_B5\3&11583659&0&E0"
"Location Paths","PCIROOT(0)#PCI(1C00)"

PCI Express x1 Bus #1


Intel Cougar Point PCH - PCI Express Port 2 [B3]

"Nombre del dispositivo:","Intel Cougar Point PCH - PCI Express Port 2 [B3]"
"Nombre del dispositivo original:","Intel Cougar Point PCH - PCI Express Port 2 [B3]"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","B5 [B3]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:28:1"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C12&SUBSYS_00000000&REV_B5"
"Versión:","2.0"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","No negociado"
"Velocidad máxima de enlace:","5.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","No capaz"
"Hot-Plug Surprise:","No capaz"
"Límite de potencia de la ranura:","10.000 W"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L0s and L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","IRQ3"
"Pin de interrupción:","INTB#"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puente PCI a PCI"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3996"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C12&SUBSYS_18DD103C&REV_B5\3&11583659&0&E1"
"Location Paths","PCIROOT(0)#PCI(1C01)"

PCI Express x1 Bus #2


Intel Cougar Point PCH - PCI Express Port 3 [B3]

"Nombre del dispositivo:","Intel Cougar Point PCH - PCI Express Port 3 [B3]"
"Nombre del dispositivo original:","Intel Cougar Point PCH - PCI Express Port 3 [B3]"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","B5 [B3]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:28:2"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C14&SUBSYS_00000000&REV_B5"
"Versión:","2.0"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","x1"
"Velocidad máxima de enlace:","5.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","No capaz"
"Hot-Plug Surprise:","No capaz"
"Límite de potencia de la ranura:","10.000 W"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L0s and L1 Entry"
"L0s Exit Latency:","256 - 512 ns"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","IRQ11"
"Pin de interrupción:","INTC#"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puente PCI a PCI"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3996"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C14&SUBSYS_18DD103C&REV_B5\3&11583659&0&E2"
"Location Paths","PCIROOT(0)#PCI(1C02)"

PCI Express x1 Bus #3


Ralink RT5392 802.11n Wireless Network Adapter

"Nombre del dispositivo:","Ralink RT5392 802.11n Wireless Network Adapter"
"Nombre del dispositivo original:","Ralink RT5392 802.11n Wireless Network Adapter"
"Clase de dispositivo:","Other Network Adapter"
"ID de revisión:","0"
"Número de dirección PCI (Bus: Dispositivo: Función):","3:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_1814&DEV_5392&SUBSYS_F0531814&REV_00"
"Versión:","2.0"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","x1"
"Velocidad máxima de enlace:","5.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Punto final PCI Express"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L0s and L1 Entry"
"L0s Exit Latency:","256 - 512 ns"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","F7CF0000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Ralink Technology, Corp."
"Descripción del controlador:","Tarjeta de LAN inalámbrica Dual Stream 802.11n"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","5.0.57.1"
"Fecha del controlador:","17-May-2015"
"DeviceInstanceId","PCI\VEN_1814&DEV_5392&SUBSYS_F0531814&REV_00\4&1BCB40D4&0&00E2"
"Location Paths","PCIROOT(0)#PCI(1C02)#PCI(0000)"

Intel Cougar Point PCH - PCI Express Port 4 [B3]

"Nombre del dispositivo:","Intel Cougar Point PCH - PCI Express Port 4 [B3]"
"Nombre del dispositivo original:","Intel Cougar Point PCH - PCI Express Port 4 [B3]"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","B5 [B3]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:28:3"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C16&SUBSYS_00000000&REV_B5"
"Versión:","2.0"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","No negociado"
"Velocidad máxima de enlace:","5.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","No capaz"
"Hot-Plug Surprise:","No capaz"
"Límite de potencia de la ranura:","10.000 W"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L0s and L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","IRQ10"
"Pin de interrupción:","INTD#"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puente PCI a PCI"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3996"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C16&SUBSYS_18DD103C&REV_B5\3&11583659&0&E3"
"Location Paths","PCIROOT(0)#PCI(1C03)"

PCI Express x1 Bus #4


Intel Cougar Point PCH - PCI Express Port 5 [B3]

"Nombre del dispositivo:","Intel Cougar Point PCH - PCI Express Port 5 [B3]"
"Nombre del dispositivo original:","Intel Cougar Point PCH - PCI Express Port 5 [B3]"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","B5 [B3]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:28:4"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C18&SUBSYS_00000000&REV_B5"
"Versión:","2.0"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","No negociado"
"Velocidad máxima de enlace:","5.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","No capaz"
"Hot-Plug Surprise:","No capaz"
"Límite de potencia de la ranura:","10.000 W"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L0s and L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","IRQ11"
"Pin de interrupción:","INTA#"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puente PCI a PCI"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3996"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C18&SUBSYS_18DD103C&REV_B5\3&11583659&0&E4"
"Location Paths","PCIROOT(0)#PCI(1C04)"

PCI Express x1 Bus #5


Intel Cougar Point PCH - PCI Express Port 6 [B3]

"Nombre del dispositivo:","Intel Cougar Point PCH - PCI Express Port 6 [B3]"
"Nombre del dispositivo original:","Intel Cougar Point PCH - PCI Express Port 6 [B3]"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","B5 [B3]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:28:5"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C1A&SUBSYS_00000000&REV_B5"
"Versión:","2.0"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","x1"
"Velocidad máxima de enlace:","5.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","No capaz"
"Hot-Plug Surprise:","No capaz"
"Límite de potencia de la ranura:","10.000 W"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:","256 - 512 ns"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","IRQ3"
"Pin de interrupción:","INTB#"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puente PCI a PCI"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3996"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C1A&SUBSYS_18DD103C&REV_B5\3&11583659&0&E5"
"Location Paths","PCIROOT(0)#PCI(1C05)"

PCI Express x1 Bus #6


