
FISIOTERAPIA-CA

"Nombre del computadora:","FISIOTERAPIA-CA"
"Tipo de procesador:","Procesador central"
"Voltaje del procesador:","1.2 V"
"Actualización del procesador:","Socket BGA1155"
"Designación de enchufe:","SOCKET 0"

CPU Interno L2

"Designación de enchufe:","CPU Internal L2"
"Estado de caché:","Activado"
"Ubicación de la caché:","Interno"
"Tipo de caché:","L2 Unified"
"Esquema de caché:","Write-Back"
"Tipo de SRAM admitido:",""
"Tipo de SRAM actual:",""
"Velocidad de caché:","Unknown"
"Tipo de corrección de errores:","Single-bit ECC"
"Tamaño máximo de caché:","1024 KBytes"
"Tamaño de caché instalado:","1024 KBytes"
"Asociatividad de caché:","8-way Set-Associative"

CPU Interno L1

"Designación de enchufe:","CPU Internal L1"
"Estado de caché:","Activado"
"Ubicación de la caché:","Interno"
"Tipo de caché:","L1"
"Esquema de caché:","Write-Back"
"Tipo de SRAM admitido:",""
"Tipo de SRAM actual:",""
"Velocidad de caché:","Unknown"
"Tipo de corrección de errores:","Single-bit ECC"
"Tamaño máximo de caché:","256 KBytes"
"Tamaño de caché instalado:","256 KBytes"
"Asociatividad de caché:","8-way Set-Associative"

CPU Interno L3

"Designación de enchufe:","CPU Internal L3"
"Estado de caché:","Activado"
"Ubicación de la caché:","Interno"
"Tipo de caché:","L3 Unified"
"Esquema de caché:","Write-Back"
"Tipo de SRAM admitido:",""
"Tipo de SRAM actual:",""
"Velocidad de caché:","Unknown"
"Tipo de corrección de errores:","Single-bit ECC"
"Tamaño máximo de caché:","6144 KBytes"
"Tamaño de caché instalado:","6144 KBytes"
"Asociatividad de caché:","12-way Set-Associative"

Idioma del BIOS












Dispositivos de memoria


Matriz de memoria física

"Ubicación de la matriz:","System board"
"Uso de matriz:","System memory"
"Método de detección de errores:","Ninguna"
"Capacidad de memoria:","16 GBytes"
"Dispositivos de memoria:","2"

Dispositivo de memoria

"Ancho total:","64 bits"
"Ancho de datos:","64 bits"
"Tamaño del dispositivo:","4096 MBytes"
"Factor de forma del dispositivo:","DIMM"
"Localizador de dispositivos:","ChannelA-DIMM1"
"Bank Locator:","BANK 1"
"Tipo de dispositivo:","DDR3 SDRAM"
"Detalle del tipo de dispositivo:","Synchronous"
"Velocidad de memoria:","1600 MHz"
"Fabricante:","Elpida"
"Número de serie:","F2C91E34"
"Número de parte:","EBJ40UG8EFW0-GN-F "
"Asset Tag:","9876543210"

Memory Device Mapped Address

"Dirección inicial:","00000000"
"Dirección final:","003FFFFF"
"Partition Row Position:","Desconocido"
"Interleave Position:","Desconocido"
"Interleave Data Depth:","Desconocido"

Dispositivo de memoria

"Ancho total:","0 bits"
"Ancho de datos:","0 bits"
"Tamaño del dispositivo:","0 MBytes"
"Factor de forma del dispositivo:","DIMM"
"Localizador de dispositivos:","ChannelB-DIMM1"
"Bank Locator:","BANK 3"
"Tipo de dispositivo:","Unknown"
"Detalle del tipo de dispositivo:",""
"Fabricante:","[Empty]"
"Número de serie:","[Empty]"
"Número de parte:","[Empty]"
"Asset Tag:","9876543210"

Memory Array Mapped Address

"Dirección inicial:","00000000"
"Dirección final:","003FFFFF"
"Ancho de partición:","2"

Conectores de puerto


Mouse Port

"Tipo de puerto:","Mouse Port"
"Referencia interna:","J1A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","PS2Mouse"
"Tipo de conector externo:","PS/2"

Keyboard Port

"Tipo de puerto:","Keyboard Port"
"Referencia interna:","J1A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Keyboard"
"Tipo de conector externo:","PS/2"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J2A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","TV Out"
"Tipo de conector externo:","Mini-Centronics Type-14"

Serial Port 16550A Compatible

"Tipo de puerto:","Serial Port 16550A Compatible"
"Referencia interna:","J2A2A"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","COM A"
"Tipo de conector externo:","DB-9 pin male"

Video Port

"Tipo de puerto:","Video Port"
"Referencia interna:","J2A2B"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Video"
"Tipo de conector externo:","DB-15 pin female"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J3A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB1"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J3A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB2"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J3A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB3"
"Tipo de conector externo:","Access Bus (USB)"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J9A1 - TPM HDR"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J9C1 - PCIE DOCKING CONN"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J2B3 - CPU FAN"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J6C2 - EXT HDMI"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J3C1 - GMCH FAN"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J1D1 - ITP"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J9E2 - MDC INTPSR"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J9E4 - MDC INTPSR"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J9E3 - LPC HOT DOCKING"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J9E1 - SCAN MATRIX"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J9G1 - LPC SIDE BAND"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J8F1 - UNIFIED"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J6F1 - LVDS"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J2F1 - LAI FAN"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J2G1 - GFX VID"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J1G6 - AC JACK"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Ranuras del sistema


J6B2

"Designación de la ranura:","J6B2"
"Tipo de ranura:","PCI Express x16"
"Uso de la ranura:","En uso"
"Ancho del bus de datos de la ranura:","16x / x16"
"Longitud de la ranura:","Largo"
"Base Bus:Device:Function Number:","-:0:0"

J6B1

"Designación de la ranura:","J6B1"
"Tipo de ranura:","PCI Express x1"
"Uso de la ranura:","En uso"
"Ancho del bus de datos de la ranura:","1x / x1"
"Longitud de la ranura:","Corto"
"Base Bus:Device:Function Number:","-:0:0"

J6D1

"Designación de la ranura:","J6D1"
"Tipo de ranura:","PCI"
"Uso de la ranura:","En uso"
"Ancho del bus de datos de la ranura:","32-bit"
"Longitud de la ranura:","Corto"
"Base Bus:Device:Function Number:","192:0:0"

J7B1

"Designación de la ranura:","J7B1"
"Tipo de ranura:","PCI"
"Uso de la ranura:","En uso"
"Ancho del bus de datos de la ranura:","32-bit"
"Longitud de la ranura:","Corto"
"Base Bus:Device:Function Number:","192:0:0"

Intel ME

"ME Current Working State:","Normal"
"Manufacturing Mode:","Not Active"
"ME Current Operation Mode:","Normal"
"Boot Guard Status:","Deshabilitado"
"Intel ME Version:","9.1, Build 1120"
"Intel ME Recovery Image Version:","9.1, Build 1120"
"Intel ME FITC Version:","9.1, Build 1120"
"Full Network Manageability:","No capaz"
"Standard Network Manageability:","No capaz"
"Manageability (AMT):","No capaz"
"Small Business Advantage:","No capaz"
"Manageability Upgrade:","No capaz"
"Intel Anti-Theft:","Capaz"
"Capability Licensing Service:","Capaz"
"Virtualization Engine:","No capaz"
"Power Sharing Technology (MPC):","No capaz"
"ICC Over Clocking:","Capaz"
"Protected Audio Video Path (PAVP):","Capaz"
"Identity Protection Technology (IPT):","No capaz"
"Remote PC Assist (RPAT):","No capaz"
"IPV6:","No capaz"
"KVM Remote Control:","No capaz"
"Outbreak Containment Heuristic (OCH):","No capaz"
"Virtual LAN (VLAN):","Capaz"
"Cipher Transport Layer (TLS):","No capaz"
"Wireless LAN (WLAN):","No capaz"
"Platform Trust Technology (PTT):","No capaz"
"Near Field Communication (NFC):","No capaz"
"Full Network Manageability:","Deshabilitado"
"Standard Network Manageability:","Deshabilitado"
"Manageability (AMT):","Deshabilitado"
"Small Business Advantage:","No capaz"
"Manageability Upgrade:","No capaz"
"Intel Anti-Theft:","Activado"
"Capability Licensing Service:","Activado"
"Virtualization Engine:","Deshabilitado"
"Power Sharing Technology (MPC):","Deshabilitado"
"ICC Over Clocking:","Activado"
"Protected Audio Video Path (PAVP):","Activado"
"Identity Protection Technology (IPT):","No capaz"
"Remote PC Assist (RPAT):","Deshabilitado"
"IPV6:","Deshabilitado"
"KVM Remote Control:","Deshabilitado"
"Outbreak Containment Heuristic (OCH):","Deshabilitado"
"Virtual LAN (VLAN):","Capaz"
"Cipher Transport Layer (TLS):","Deshabilitado"
"Wireless LAN (WLAN):","Deshabilitado"
"Platform Trust Technology (PTT):","Deshabilitado"
"Near Field Communication (NFC):","Deshabilitado"
"Platform Target Usage Type:","Desktop"
"SKU:","Regular SKU"
"ME Firmware Image Type:","1.5MB Firmware"
"Platform Brand:","None"
"Host ME Region Flash Protection Override (HMRFPO) Status:","Locked"

Memoria

"Tamaño de memoria total:","4 GBytes"
"Total Memory Size [MB]:","4096"
"Frecuencia de memoria máxima admitida:","800.0 MHz"
"Frecuencia de memoria actual:","798.1 MHz (8 : 1 Relación)"
"Sincronización actual (tCAS-tRCD-tRP-tRAS):","11-11-11-28"
"Canales de memoria compatibles:","2"
"Canales de memoria activos:","1"
"Tasa de comando (CR):","1T"
"Read to Read Delay (tRDRD_SG/TrdrdScL) Same Bank Group:","4T"
"Read to Read Delay (tRDRD_DG/TrdrdScDlr) Different Bank Group:","6T"
"Read to Read Delay (tRDRD_DD) Different DIMM:","6T"
"Write to Write Delay (tWRWR_SG/TwrwrScL) Same Bank Group:","4T"
"Write to Write Delay (tWRWR_DG/TwrwrScDlr) Different Bank Group:","7T"
"Write to Write Delay (tWRWR_DD) Different DIMM:","7T"
"Read to Write Delay (tRDWR_SG/TrdwrScL) Same Bank Group:","11T"
"Read to Write Delay (tRDWR_DG/TrdwrScDlr) Different Bank Group:","11T"
"Read to Write Delay (tRDWR_DD) Different DIMM:","11T"
"Write to Read Delay (tWRRD_SG/TwrrdScL) Same Bank Group:","20T"
"Write to Read Delay (tWRRD_DG/TwrrdScDlr) Different Bank Group:","4T"
"Write to Read Delay (tWRRD_DD) Different DIMM:","4T"
"Read to Precharge Delay (tRTP):","6T"
"Write to Precharge Delay (tWTP):","24T"
"Write Recovery Time (tWR):","23T"
"RAS# to RAS# Delay (tRRD):","5T"
"Row Cycle Time (tRC):","39T"
"Refresh Cycle Time (tRFC):","208T"
"Four Activate Window (tFAW):","24T"

Hilera: 1 [BANK 1/ChannelA-DIMM1] - 4 GB PC3-12800 DDR3 SDRAM Elpida EBJ40UG8EFW0-GN-F

"Número de módulo:","1"
"Tamaño del módulo:","4 GBytes"
"Tipo de memoria:","DDR3 SDRAM"
"Tipo de módulo:","Unbuffered DIMM (UDIMM)"
"Velocidad de memoria:","800.0 MHz (DDR3-1600 / PC3-12800)"
"Fabricante del módulo:","Elpida"
"Número de pieza del módulo:","EBJ40UG8EFW0-GN-F"
"Revisión del módulo:","8240"
"Número de serie del módulo:","874433010 (F2C91E34)"
"Fecha de fabricación del módulo:","Año: 2013, Semana: 16"
"Ubicación de fabricación del módulo:","76"
"Fabricante de SDRAM:","Elpida"
"Verificación / corrección de errores:","Ninguna"
"Bits de dirección de fila:","16"
"Bits de dirección de columna:","10"
"Number Of Banks:","8"
"Densidad del módulo:","4096 Mb"
"Número de rangos:","1"
"Ancho del dispositivo:","8 bits"
"Bus Width:","64 bits"
"Voltaje nominal del módulo (VDD):","1.5 V, 1.35 V"
"Minimum SDRAM Cycle Time (tCKmin):","1.250 ns"
"Latencias de CAS # admitidas:","6, 7, 8, 9, 10, 11"
"Tiempo de latencia mínimo CAS # (tAAmin):","13.125 ns"
"Mínimo RAS # a CAS # Retardo (tRCDmin):","13.125 ns"
"Minimum Row Precharge Time (tRPmin):","13.125 ns"
"Minimum Active to Precharge Time (tRASmin):","35.000 ns"
"Temporización del módulo admitido a 800.0 MHz:","11-11-11-28"
"Temporización del módulo admitido a 666.7 MHz:","9-9-9-24"
"Temporización del módulo admitido a 533.3 MHz:","7-7-7-19"
"Temporización del módulo admitido a 400.0 MHz:","6-6-6-14"
"Minimum Write Recovery Time (tWRmin):","15.000 ns"
"Minimum Row Active to Row Active Delay (tRRDmin):","6.000 ns"
"Minimum Active to Active/Refresh Time (tRCmin):","48.125 ns"
"Minimum Refresh Recovery Time Delay (tRFCmin):","260.000 ns"
"Minimum Internal Write to Read Command Delay (tWTRmin):","7.500 ns"
"Minimum Internal Read to Precharge Command Delay (tRTPmin):","7.500 ns"
"Minimum Four Activate Window Delay Time (tFAWmin):","30.000 ns"
"Partial Array Self Refresh (PASR):","Soportado"
"On-die Thermal Sensor (ODTS) Readout:","No soportado"
"Auto Self Refresh (ASR):","No soportado"
"Extended Temperature 1X Refresh Rate:","No soportado"
"Extended Temperature Range:","Soportado"
"Module Temperature Sensor:","No soportado"
"Pseudo Target Row Refresh (pTRR):","No soportado"
"Altura nominal del módulo:","29 - 30 mm"
"Espesor máximo del módulo (frontal):","1 - 2 mm"
"Espesor máximo del módulo (trasero):","<= 1 mm"

Bus


PCI Bus #0


Intel Haswell-DT - Host Bridge/DRAM Controller

"Nombre del dispositivo:","Intel Haswell-DT - Host Bridge/DRAM Controller"
"Nombre del dispositivo original:","Intel Haswell-DT - Host Bridge/DRAM Controller"
"Clase de dispositivo:","Host-to-PCI Bridge"
"ID de revisión:","6"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_0C00&SUBSYS_7E441019&REV_06"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) Xeon(R) processor E3 - 1200 v3/4th Gen Core processor DRAM Controller - 0C00"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.1.38"
"Fecha del controlador:","02-Oct-2016"
"DeviceInstanceId","PCI\VEN_8086&DEV_0C00&SUBSYS_7E441019&REV_06\3&11583659&0&00"
"Location Paths","PCIROOT(0)#PCI(0000)"

Intel Haswell-DT GT2 - Integrated Graphics

"Nombre del dispositivo:","Intel Haswell-DT GT2 - Integrated Graphics"
"Nombre del dispositivo original:","Intel Haswell-DT GT2 - Integrated Graphics"
"Clase de dispositivo:","VGA Compatible Adapter"
"ID de revisión:","6"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:2:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_0412&SUBSYS_7E441019&REV_06"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","F7800000"
"Dirección base de memoria 2","E0000000"
"Dirección base de E/S 4","F000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) HD Graphics 4600"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","20.19.15.4624"
"Fecha del controlador:","07-Mar-2017"
"DCH/UWD Driver:","No capaz"
"DeviceInstanceId","PCI\VEN_8086&DEV_0412&SUBSYS_7E441019&REV_06\3&11583659&0&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Intel Lynx Point PCH - USB 3.0 xHCI Host Controller [C2]

"Nombre del dispositivo:","Intel Lynx Point PCH - USB 3.0 xHCI Host Controller [C2]"
"Nombre del dispositivo original:","Intel Lynx Point PCH - USB 3.0 xHCI Host Controller [C2]"
"Clase de dispositivo:","USB xHCI Controller"
"ID de revisión:","5 [C2]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:20:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_8C31&SUBSYS_7E441019&REV_05"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","F7D00000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Versión USB admitida:","3.0"
"Fabricante del controlador:","Controladora de host USB genérico xHCI"
"Descripción del controlador:","Controladora de host USB genérico compatible con xHCI"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3996"
"Fecha del controlador:","17-Jan-2024"
"DeviceInstanceId","PCI\VEN_8086&DEV_8C31&SUBSYS_7E441019&REV_05\3&11583659&0&A0"
"Location Paths","PCIROOT(0)#PCI(1400)"

USB Root Hub


[Port1] : No Device Connected


[Port2] : ELAN Microelectronics ActiveJet K-2024 Multimedia Keyboard

"Fabricante del dispositivo:","ELAN Microelectronics"
"Nombre del producto:","ELAN Microelectronics ActiveJet K-2024 Multimedia Keyboard"
"Número de serie:","-"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_04F3&PID_0103"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_04F3&PID_0103\5&705C924&0&2"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(2)"

[Port3] : No Device Connected


[Port4] : No Device Connected


[Port5] : No Device Connected


[Port6] : No Device Connected


[Port7] : Alcor Micro Multi Flash Reader

"Fabricante del dispositivo:","Generic"
"Nombre del producto:","Mass Storage Device"
"Número de serie:","058F63666471"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Alcor Micro USB 2.0 Card Reader"
"ID de hardware:","USB\VID_058F&PID_6366"
"Fabricante del controlador:","Alcor Micro, Corp."
"Descripción del controlador:","Alcor Micro USB 2.0 Card Reader"
"Proveedor de controladores:","Alcor Micro, Corp."
"Versión del controlador:","2.0.150.10135"
"Fecha del controlador:","09-Apr-2019"
"DeviceInstanceId","USB\VID_058F&PID_6366\058F63666471"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(7)"

[Port8] : No Device Connected


[Port9] : CalDigit, PID=0AE1

"Fabricante del dispositivo:","N/A"
"Nombre del producto:","USB OPTICAL MOUSE "
"Número de serie:","N/A"
"Versión USB admitida:","1.10"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo de entrada USB"
"ID de hardware:","USB\VID_2188&PID_0AE1"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Dispositivo de entrada USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_2188&PID_0AE1\5&705C924&0&9"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(9)"

[Port10] : No Device Connected


[Port11] : Device General Failure


[Port12] : Device General Failure


[Port13] : Device General Failure


[Port14] : Device General Failure


[Port15] : Device General Failure


[Port16] : No Device Connected


[Port17] : No Device Connected


Intel Lynx Point PCH - Host Embedded Controller Interface 1 (HECI1) [C1/C2]

"Nombre del dispositivo:","Intel Lynx Point PCH - Host Embedded Controller Interface 1 (HECI1) [C1/C2]"
"Nombre del dispositivo original:","Intel Lynx Point PCH - Host Embedded Controller Interface 1 (HECI1) [C1/C2]"
"Clase de dispositivo:","Other Communication Device"
"ID de revisión:","4 [C1/C2]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:22:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_8C3A&SUBSYS_7E441019&REV_04"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","F7D1E000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Intel"
"Descripción del controlador:","Intel(R) Management Engine Interface "
"Proveedor de controladores:","Intel"
"Versión del controlador:","11.7.0.1045"
"Fecha del controlador:","02-Oct-2017"
"DeviceInstanceId","PCI\VEN_8086&DEV_8C3A&SUBSYS_7E441019&REV_04\3&11583659&0&B0"
"Location Paths","PCIROOT(0)#PCI(1600)"

Intel Lynx Point PCH - USB 2.0 EHCI Host Controller #2 [C2]

"Nombre del dispositivo:","Intel Lynx Point PCH - USB 2.0 EHCI Host Controller #2 [C2]"
"Nombre del dispositivo original:","Intel Lynx Point PCH - USB 2.0 EHCI Host Controller #2 [C2]"
"Clase de dispositivo:","USB EHCI Controller"
"ID de revisión:","5 [C2]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:26:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_8C2D&SUBSYS_7E441019&REV_05"
"Línea de interrupción:","IRQ16"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","F7D1C000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Versión USB admitida:","2.0"
"Fabricante del controlador:","Intel"
"Descripción del controlador:","USB EHCI nº 2 Intel(R) Serie 8/Serie C220 - 8C2D"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4170"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_8C2D&SUBSYS_7E441019&REV_05\3&11583659&0&D0"
"Location Paths","PCIROOT(0)#PCI(1A00)"

USB Root Hub


[Port1] : Intel Integrated Rate Matching Hub

"Fabricante del dispositivo:","Intel"
"Nombre del producto:","Intel Integrated Rate Matching Hub"
"Número de serie:",""
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Generic USB Hub"
"ID de hardware:","USB\VID_8087&PID_8008"
"Fabricante del controlador:","(Generic USB Hub)"
"Descripción del controlador:","Generic USB Hub"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.4046"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_8087&PID_8008\5&1B805097&0&1"
"Location Paths","PCIROOT(0)#PCI(1A00)#USBROOT(0)#USB(1)"

[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port2] : No Device Connected


Intel Lynx Point PCH - High Definition Audio Controller [C2]

"Nombre del dispositivo:","Intel Lynx Point PCH - High Definition Audio Controller [C2]"
"Nombre del dispositivo original:","Intel Lynx Point PCH - High Definition Audio Controller [C2]"
"Clase de dispositivo:","High Definition Audio"
"ID de revisión:","5 [C2]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:27:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_8C20&SUBSYS_7E441019&REV_05"
"Versión:","1.1"
"Ancho actual del enlace:","No negociado"
"Tipo de dispositivo / puerto:","Extremo integrado del complejo raíz"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","Ninguna"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","IRQ22"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","FEAF8000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Microsoft"
"Descripción del controlador:","Controladora de High Definition Audio"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.3636"
"Fecha del controlador:","18-Oct-2023"
"DeviceInstanceId","PCI\VEN_8086&DEV_8C20&SUBSYS_7E441019&REV_05\3&11583659&0&D8"
"Location Paths","PCIROOT(0)#PCI(1B00)"

Intel Lynx Point PCH - PCI Express Root Port 1 [C2]

"Nombre del dispositivo:","Intel Lynx Point PCH - PCI Express Root Port 1 [C2]"
"Nombre del dispositivo original:","Intel Lynx Point PCH - PCI Express Root Port 1 [C2]"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","D5 [C2]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:28:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_8C10&SUBSYS_00000000&REV_D5"
"Versión:","2.0"
"Ancho máximo del enlace:","x1"
"Ancho actual del enlace:","No negociado"
"Velocidad máxima de enlace:","5.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","Capaz"
"Hot-Plug Surprise:","Capaz"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
