
VACUNACIONCALER

"Nombre del computadora:","VACUNACIONCALER"
"SA-CRID Original Value","0.0.0.12"
"SA-CRID New Value","0.0.0.12"
"OPROM - VBIOS",""

Información de la versión de firmware

"FSP Binary Version","4.0.0.0"

Caché L1

"Designación de enchufe:","L1 Cache"
"Estado de caché:","Activado"
"Ubicación de la caché:","Interno"
"Tipo de caché:","L1 Unified"
"Esquema de caché:","Write-Back"
"Tipo de SRAM admitido:","Synchronous"
"Tipo de SRAM actual:","Synchronous"
"Velocidad de caché:","Unknown"
"Tipo de corrección de errores:","Parity"
"Tamaño máximo de caché:","256 KBytes"
"Tamaño de caché instalado:","256 KBytes"
"Asociatividad de caché:","8-way Set-Associative"

Caché L2

"Designación de enchufe:","L2 Cache"
"Estado de caché:","Activado"
"Ubicación de la caché:","Interno"
"Tipo de caché:","L2 Unified"
"Esquema de caché:","Write-Back"
"Tipo de SRAM admitido:","Synchronous"
"Tipo de SRAM actual:","Synchronous"
"Velocidad de caché:","Unknown"
"Tipo de corrección de errores:","Single-bit ECC"
"Tamaño máximo de caché:","1024 KBytes"
"Tamaño de caché instalado:","1024 KBytes"
"Asociatividad de caché:","4-way Set-Associative"

Caché L3

"Designación de enchufe:","L3 Cache"
"Estado de caché:","Activado"
"Ubicación de la caché:","Interno"
"Tipo de caché:","L3 Unified"
"Esquema de caché:","Write-Back"
"Tipo de SRAM admitido:","Synchronous"
"Tipo de SRAM actual:","Synchronous"
"Velocidad de caché:","Unknown"
"Tipo de corrección de errores:","Multi-bit ECC"
"Tamaño máximo de caché:","6144 KBytes"
"Tamaño de caché instalado:","6144 KBytes"
"Asociatividad de caché:","12-way Set-Associative"

Procesador

"Fabricante del procesador:","Intel(R) Corporation"
"Processor Version:","Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz"
"Frecuencia externa:","100 MHz"
"Frecuencia máxima admitida:","1600 MHz"
"Frecuencia actual:","1600 MHz"
"Zócalo de CPU:","Poblada"
"Estado de la CPU:","Activado"
"Tipo de procesador:","Procesador central"
"Voltaje del procesador:","0.7 V"
"Actualización del procesador:","Socket BGA1528"
"Designación de enchufe:","U3E1"

Intel vPro

"CPU VT-x Support:","Soportado"
"CPU VT-x Status:","Activado"
"CPU VT-x2 Support:","No soportado"
"CPU VT-x2 Status:","Deshabilitado"
"CPU TXT Support:","No soportado"
"CPU TXT Status:","Deshabilitado"
"CPU VMX Status:","Activado"
"CPU SMX Status:","Deshabilitado"
"Intel ME Status:","Activado"
"Intel OST Firmware Support:","No soportado"
"Intel ASF Firmware Support:","No soportado"
"Intel AMT Pro Firmware Support:","No soportado"
"Intel AMT Basic Firmware Support:","No soportado"
"Intel TPM Firmware Support:","No soportado"
"Intel Castle Peak Support:","No soportado"
"Intel WoX Support:","No soportado"
"Intel Virtualization Engine Support:","No soportado"
"Intel Anti-Theft Technology Support:","No soportado"
"TPM On-board:","No soportado"
"Intel Anti-Theft Technology Enrolled:","No soportado"
"Intel ME Version:","v14.1, Build 1649, Hotfix 53"
"BIOS VT-x Support:","No soportado"
"BIOS VT-d Support:","Soportado"
"BIOS TXT Support:","No soportado"
"BIOS TPM Support:","No soportado"
"BIOS ME Support:","No soportado"
"BIOS VA Extensions Support:","Soportado"
"Intel AT PBA For Recovery Support:","No soportado"
"Intel AT WWAN Support:","No soportado"

Idioma del BIOS















Dispositivo a bordo

"Descripción del aparato:","Onboard - Other"
"Tipo de dispositivo:","Unknown"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:","Onboard - Video"
"Tipo de dispositivo:","Video Adapter"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:","Onboard - Other"
"Tipo de dispositivo:","Unknown"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:","Onboard - Other"
"Tipo de dispositivo:","Unknown"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:","Onboard - Other"
"Tipo de dispositivo:","Unknown"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:","Onboard - Other"
"Tipo de dispositivo:","Unknown"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:","Onboard - Other"
"Tipo de dispositivo:","Unknown"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:","Onboard - Other"
"Tipo de dispositivo:","Unknown"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:","Onboard - Other"
"Tipo de dispositivo:","Unknown"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:","Onboard - Other"
"Tipo de dispositivo:","Unknown"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:","Onboard - Sound"
"Tipo de dispositivo:","Audio Device"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:","Onboard - Other"
"Tipo de dispositivo:","Unknown"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:","Onboard - Other"
"Tipo de dispositivo:","Unknown"
"Estado del dispositivo:","Activado"

Información de la versión de firmware

"Lan Phy Version",""
"Sensor Firmware Version",""
"Debug Mode Status","Disabled"
"Performance Mode Status","Disabled"
"Debug Use USB(Disabled:Serial)","Disabled"
"ICC Overclocking Version","0.0.0.0"
"UNDI Version",""
"EC FW Version","47.17.0.0"
"GOP Version","0.9.0.4242"
"Royal Park Version",""
"Platform Version","0.7.0.0"
"Client Silicon Version","0.2.0.15"

Group Associations


Group Associations


Dispositivos de memoria


Matriz de memoria física

"Ubicación de la matriz:","System board"
"Uso de matriz:","System memory"
"Método de detección de errores:","Ninguna"
"Capacidad de memoria:","32 GBytes"
"Dispositivos de memoria:","2"

Dispositivo de memoria

"Ancho total:","64 bits"
"Ancho de datos:","64 bits"
"Tamaño del dispositivo:","8192 MBytes"
"Factor de forma del dispositivo:","SODIMM"
"Localizador de dispositivos:","DIMM0"
"Bank Locator:","BANK 0"
"Tipo de dispositivo:","DDR4"
"Detalle del tipo de dispositivo:","Synchronous"
"Velocidad de memoria:","3200 MHz"
"Fabricante:","Samsung"
"Número de serie:","4878A7E7"
"Número de parte:","M471A1K43DB1-CWE    "
"Asset Tag:","8CC1503557"

Dispositivo de memoria

"Ancho total:","64 bits"
"Ancho de datos:","64 bits"
"Tamaño del dispositivo:","8192 MBytes"
"Factor de forma del dispositivo:","SODIMM"
"Localizador de dispositivos:","DIMM1"
"Bank Locator:","BANK 2"
"Tipo de dispositivo:","DDR4"
"Detalle del tipo de dispositivo:","Synchronous"
"Velocidad de memoria:","2666 MHz"
"Fabricante:","ADATA"
"Número de serie:","7FFE0500"
"Número de parte:","                    "
"Asset Tag:","8CC1503557"

Memory Array Mapped Address

"Dirección inicial:","00000000"
"Dirección final:","00FFFFFF"
"Ancho de partición:","2"

Memory Device Mapped Address

"Dirección inicial:","00000000"
"Dirección final:","007FFFFF"
"Partition Row Position:","1"
"Interleave Position:","1"
"Interleave Data Depth:","1"

Memory Device Mapped Address

"Dirección inicial:","00800000"
"Dirección final:","00FFFFFF"
"Partition Row Position:","1"
"Interleave Position:","2"
"Interleave Data Depth:","1"

Conectores de puerto


SATA

"Tipo de puerto:","SATA"
"Referencia interna:","Ctrl0Port0"
"Tipo de conector interno:","SAS/SATA Plug Receptacle"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

SATA

"Tipo de puerto:","SATA"
"Referencia interna:","Ctrl0Port1"
"Tipo de conector interno:","SAS/SATA Plug Receptacle"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Ranuras del sistema


J6B2

"Designación de la ranura:","J6B2"
"Tipo de ranura:","PCI Express"
"Uso de la ranura:","En uso"
"Ancho del bus de datos de la ranura:","16x / x16"
"Longitud de la ranura:","Largo"
"Base Bus:Device:Function Number:","0:1:0"

Intel ME

"ME Current Working State:","Normal"
"Manufacturing Mode:","Not Active"
"ME Current Operation Mode:","Normal"
"Boot Guard Status:","Activado"
"Boot Guard Verified Boot Policy:","Deshabilitado"
"Boot Guard Measured Boot Policy:","Deshabilitado"
"Intel ME Version:","14.1, Build 1649, Hot Fix 53"
"Intel ME Recovery Image Version:","14.1, Build 1649, Hot Fix 53"
"Intel ME FITC Version:","14.0, Build 1649, Hot Fix 53"
"Full Network Manageability:","No capaz"
"Standard Network Manageability:","No capaz"
"Manageability (AMT):","No capaz"
"Small Business Advantage:","No capaz"
"Intel Integrated Touch:","No capaz"
"Intel Anti-Theft:","No capaz"
"Capability Licensing Service:","Capaz"
"Virtualization Engine:","No capaz"
"Intel Sensor Hub (ISH):","No capaz"
"ICC Over Clocking:","No capaz"
"Protected Audio Video Path (PAVP):","Capaz"
"Network Frame Forwarder (NFF):","No capaz"
"Remote PC Assist (RPAT):","Capaz"
"IPV6:","No capaz"
"KVM Remote Control:","No capaz"
"Outbreak Containment Heuristic (OCH):","No capaz"
"Dynamic Application Loader (DAL):","Capaz"
"Cipher Transport Layer (TLS):","Capaz"
"Wireless LAN (WLAN):","No capaz"
"Platform Trust Technology (PTT):","Capaz"
"Near Field Communication (NFC):","No capaz"
"Full Network Manageability:","Deshabilitado"
"Standard Network Manageability:","Deshabilitado"
"Manageability (AMT):","Deshabilitado"
"Small Business Advantage:","No capaz"
"MEI3:","No capaz"
"Intel Anti-Theft:","Deshabilitado"
"Capability Licensing Service:","Activado"
"Virtualization Engine:","Deshabilitado"
"Intel Sensor Hub (ISH):","Deshabilitado"
"ICC Over Clocking:","Deshabilitado"
"Protected Audio Video Path (PAVP):","Activado"
"Network Frame Forwarder (NFF):","No capaz"
"Remote PC Assist (RPAT):","Activado"
"IPV6:","Deshabilitado"
"KVM Remote Control:","Deshabilitado"
"Outbreak Containment Heuristic (OCH):","Deshabilitado"
"Dynamic Application Loader (DAL):","Capaz"
"Cipher Transport Layer (TLS):","Activado"
"Wireless LAN (WLAN):","Deshabilitado"
"Platform Trust Technology (PTT):","Activado"
"Near Field Communication (NFC):","Deshabilitado"
"Platform Target Usage Type:","Mobile"
"SKU:","Regular SKU"
"ME Firmware Image Type:","Consumer SKU Firmware"
"Platform Brand:","None"
"Host ME Region Flash Protection Override (HMRFPO) Status:","Locked"

Memoria

"Tamaño de memoria total:","16 GBytes"
"Total Memory Size [MB]:","16384"
"Frecuencia de memoria máxima admitida:","1333.3 MHz"
"Frecuencia de memoria actual:","1330.1 MHz"
"Sincronización actual (tCAS-tRCD-tRP-tRAS):","19-19-19-43"
"Canales de memoria compatibles:","2"
"Canales de memoria activos:","2"
"Tasa de comando (CR):","2T"
"Read to Read Delay (tRDRD_SG/TrdrdScL) Same Bank Group:","7T"
"Read to Read Delay (tRDRD_DG/TrdrdScDlr) Different Bank Group:","4T"
"Read to Read Delay (tRDRD_SD) Same DIMM:","6T"
"Read to Read Delay (tRDRD_DD) Different DIMM:","7T"
"Write to Write Delay (tWRWR_SG/TwrwrScL) Same Bank Group:","7T"
"Write to Write Delay (tWRWR_DG/TwrwrScDlr) Different Bank Group:","4T"
"Write to Write Delay (tWRWR_SD) Same DIMM:","7T"
"Write to Write Delay (tWRWR_DD) Different DIMM:","7T"
"Read to Write Delay (tRDWR_SG/TrdwrScL) Same Bank Group:","10T"
"Read to Write Delay (tRDWR_DG/TrdwrScDlr) Different Bank Group:","9T"
"Read to Write Delay (tRDWR_SD) Same DIMM:","10T"
"Read to Write Delay (tRDWR_DD) Different DIMM:","11T"
"Write to Read Delay (tWRRD_SG/TwrrdScL) Same Bank Group:","33T"
"Write to Read Delay (tWRRD_DG/TwrrdScDlr) Different Bank Group:","27T"
"Write to Read Delay (tWRRD_SD) Same DIMM:","6T"
"Write to Read Delay (tWRRD_DD) Different DIMM:","6T"
"Read to Precharge Delay (tRTP):","10T"
"Write to Precharge Delay (tWTP):","32T"
"Write Recovery Time (tWR):","21T"
"RAS# to RAS# Delay (tRRD_L):","7T"
"RAS# to RAS# Delay (tRRD_S):","18T"
"Row Cycle Time (tRC):","62T"
"Refresh Cycle Time (tRFC):","467T"
"Four Activate Window (tFAW):","28T"

Hilera: 0 [BANK 0/DIMM0] - 8 GB PC4-25600 DDR4 SDRAM Samsung M471A1K43DB1-CWE

"Número de módulo:","0"
"Tamaño del módulo:","8 GBytes"
"Tipo de memoria:","DDR4 SDRAM"
"Tipo de módulo:","SO-DIMM"
"Velocidad de memoria:","1600.0 MHz (DDR4-3200 / PC4-25600)"
"Fabricante del módulo:","Samsung"
"Número de pieza del módulo:","M471A1K43DB1-CWE"
"Revisión del módulo:","0.0"
"Número de serie del módulo:","3886512200 (4878A7E7)"
"Fecha de fabricación del módulo:","Año: 2021, Semana: 44"
"Ubicación de fabricación del módulo:","4"
"Fabricante de SDRAM:","Samsung"
"DRAM Steppping:","0.0"
"Verificación / corrección de errores:","Ninguna"
"Bits de dirección de fila:","16"
"Bits de dirección de columna:","10"
"Densidad del módulo:","8192 Mb"
"Número de rangos:","1"
"Número de grupos de bancos:","4"
"Ancho del dispositivo:","8 bits"
"Bus Width:","64 bits"
"Die Count:","1"
"Voltaje nominal del módulo (VDD):","1.2 V"
"Tiempo de ciclo mínimo de SDRAM (tCKAVGmin):","0.62500 ns (1600 MHz)"
"Tiempo máximo de ciclo de SDRAM (tCKAVGmax):","1.60000 ns"
"Latencias de CAS # admitidas:","10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24"
"Tiempo de latencia mínimo CAS # (tAAmin):","13.750 ns"
"Mínimo RAS # a CAS # Retardo (tRCDmin):","13.750 ns"
"Minimum Row Precharge Time (tRPmin):","13.750 ns"
"Minimum Active to Precharge Time (tRASmin):","32.000 ns"
"Temporización del módulo admitido a 1600.0 MHz:","22-22-22-52"
"Temporización del módulo admitido a 1466.7 MHz:","21-21-21-47"
"Temporización del módulo admitido a 1333.3 MHz:","19-19-19-43"
"Temporización del módulo admitido a 1200.0 MHz:","17-17-17-39"
"Temporización del módulo admitido a 1066.7 MHz:","15-15-15-35"
"Temporización del módulo admitido a 933.3 MHz:","13-13-13-30"
"Temporización del módulo admitido a 800.0 MHz:","11-11-11-26"
"Temporización del módulo admitido a 666.7 MHz:","10-10-10-22"
"Minimum Active to Active/Refresh Time (tRCmin):","45.750 ns"
"Minimum Refresh Recovery Time Delay (tRFC1min):","350.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC2min):","260.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC4min):","160.000 ns"
"Minimum Four Activate Window Delay Time (tFAWmin):","21.000 ns"
"Minimum Active to Active Delay Time - Different Bank Group (tRRD_Smin):","2.500 ns"
"Minimum Active to Active Delay Time - Same Bank Group (tRRD_Lmin):","4.900 ns"
"Minimum CAS to CAS Delay Time - Same Bank Group (tCCD_Lmin):","5.000 ns"
"Sensor de temperatura del módulo (TSOD):","No soportado"
"Altura nominal del módulo:","29 - 30 mm"
"Espesor máximo del módulo (frontal):","1 - 2 mm"
"Espesor máximo del módulo (trasero):","1 - 2 mm"
"Address Mapping from Edge Connector to DRAM:","Standard"

Hilera: 2 - 8 GB PC4-21300 DDR4 SDRAM A-DATA Technology 

"Número de módulo:","2"
"Tamaño del módulo:","8 GBytes"
"Tipo de memoria:","DDR4 SDRAM"
"Tipo de módulo:","SO-DIMM"
"Velocidad de memoria:","1333.3 MHz (DDR4-2666 / PC4-21300)"
"Fabricante del módulo:","A-DATA Technology"
"Número de pieza del módulo:",""
"Revisión del módulo:","0.0"
"Número de serie del módulo:","392831 (7FFE0500)"
"Fecha de fabricación del módulo:","Año: 2021, Semana: 47"
"Ubicación de fabricación del módulo:","1"
"Fabricante de SDRAM:","SpecTek"
"DRAM Steppping:","5.2"
"Verificación / corrección de errores:","Ninguna"
"Bits de dirección de fila:","16"
"Bits de dirección de columna:","10"
"Densidad del módulo:","8192 Mb"
"Número de rangos:","1"
"Número de grupos de bancos:","4"
"Ancho del dispositivo:","8 bits"
"Bus Width:","64 bits"
"Die Count:","1"
"Voltaje nominal del módulo (VDD):","1.2 V"
"Tiempo de ciclo mínimo de SDRAM (tCKAVGmin):","0.75000 ns (1333 MHz)"
"Tiempo máximo de ciclo de SDRAM (tCKAVGmax):","1.60000 ns"
"Latencias de CAS # admitidas:","10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
"Tiempo de latencia mínimo CAS # (tAAmin):","13.750 ns"
"Mínimo RAS # a CAS # Retardo (tRCDmin):","13.750 ns"
"Minimum Row Precharge Time (tRPmin):","13.750 ns"
"Minimum Active to Precharge Time (tRASmin):","32.000 ns"
"Temporización del módulo admitido a 1333.3 MHz:","19-19-19-43"
"Temporización del módulo admitido a 1200.0 MHz:","17-17-17-39"
"Temporización del módulo admitido a 1066.7 MHz:","15-15-15-35"
"Temporización del módulo admitido a 933.3 MHz:","13-13-13-30"
"Temporización del módulo admitido a 800.0 MHz:","11-11-11-26"
"Temporización del módulo admitido a 666.7 MHz:","10-10-10-22"
"Minimum Active to Active/Refresh Time (tRCmin):","45.750 ns"
"Minimum Refresh Recovery Time Delay (tRFC1min):","350.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC2min):","260.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC4min):","160.000 ns"
"Minimum Four Activate Window Delay Time (tFAWmin):","21.000 ns"
"Minimum Active to Active Delay Time - Different Bank Group (tRRD_Smin):","3.000 ns"
"Minimum Active to Active Delay Time - Same Bank Group (tRRD_Lmin):","4.900 ns"
"Minimum CAS to CAS Delay Time - Same Bank Group (tCCD_Lmin):","5.000 ns"
"Sensor de temperatura del módulo (TSOD):","No soportado"
"Altura nominal del módulo:","29 - 30 mm"
"Espesor máximo del módulo (frontal):","1 - 2 mm"
"Espesor máximo del módulo (trasero):","1 - 2 mm"
"Address Mapping from Edge Connector to DRAM:","Standard"

Bus


PCI Bus #0


Intel Comet Lake-U v1 4c - Host Bridge/DRAM Controller

"Nombre del dispositivo:","Intel Comet Lake-U v1 4c - Host Bridge/DRAM Controller"
"Nombre del dispositivo original:","Intel Comet Lake-U v1 4c - Host Bridge/DRAM Controller"
"Clase de dispositivo:","Host-to-PCI Bridge"
"ID de revisión:","C"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_9B61&SUBSYS_86F8103C&REV_0C"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) Host Bridge/DRAM Registers - 9B61"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.30.3"
"DeviceInstanceId","PCI\VEN_8086&DEV_9B61&SUBSYS_86F8103C&REV_0C\3&11583659&0&00"
"Location Paths","PCIROOT(0)#PCI(0000)"

Intel UHD Graphics (Comet Lake-U GT2) [V0]

"Nombre del dispositivo:","Intel UHD Graphics (Comet Lake-U GT2) [V0]"
"Nombre del dispositivo original:","Intel UHD Graphics (Comet Lake-U GT2) [V0]"
"Clase de dispositivo:","VGA Compatible Adapter"
"ID de revisión:","2 [V0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:2:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_9B41&SUBSYS_86F8103C&REV_02"
"Versión:","2.0"
"Ancho actual del enlace:","No negociado"
"Velocidad máxima de enlace:","5.0 GT/s"
"Tipo de dispositivo / puerto:","Extremo integrado del complejo raíz"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","Ninguna"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","B0000000"
"Dirección base de memoria 2","A0000000"
"Dirección base de E/S 4","5000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) UHD Graphics"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","30.0.101.2079"
"Fecha del controlador:","25-May-2022"
"DCH/UWD Driver:","Capaz"
"DeviceInstanceId","PCI\VEN_8086&DEV_9B41&SUBSYS_86F8103C&REV_02\3&11583659&0&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Dynamic Platform & Thermal Framework Processor Participant

"Nombre del dispositivo:","Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Dynamic Platform & Thermal Framework Processor Participant"
"Nombre del dispositivo original:","Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Dynamic Platform & Thermal Framework Processor Participant"
"Clase de dispositivo:","Other Data Acquisition/Signal Processing Controller"
"ID de revisión:","C"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:4:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1903&SUBSYS_86F8103C&REV_0C"
"Línea de interrupción:","IRQ16"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","FE0F0000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Fabricante del controlador:","Intel"
"Descripción del controlador:","Intel(R) Dynamic Tuning Processor Participant"
"Proveedor de controladores:","Intel"
"Versión del controlador:","8.7.10200.12510"
"Fecha del controlador:","04-Nov-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_1903&SUBSYS_86F8103C&REV_0C\3&11583659&0&20"
"Location Paths","PCIROOT(0)#PCI(0400)"

Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Gaussian Mixture Model

"Nombre del dispositivo:","Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Gaussian Mixture Model"
"Nombre del dispositivo original:","Intel Skylake/Kaby Lake/Coffee Lake/Whiskey Lake - Gaussian Mixture Model"
"Clase de dispositivo:","Unknown Peripheral Device"
"ID de revisión:","0"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:8:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1911&SUBSYS_86F8103C&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","B1426000"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) Gaussian Mixture Model - 1911"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.7.4"
"DeviceInstanceId","PCI\VEN_8086&DEV_1911&SUBSYS_86F8103C&REV_00\3&11583659&0&40"
"Location Paths","PCIROOT(0)#PCI(0800)"

Intel Comet Lake PCH-LP - Thermal Subsystem [A0]

"Nombre del dispositivo:","Intel Comet Lake PCH-LP - Thermal Subsystem [A0]"
"Nombre del dispositivo original:","Intel Comet Lake PCH-LP - Thermal Subsystem [A0]"
"Clase de dispositivo:","Other Data Acquisition/Signal Processing Controller"
"ID de revisión:","0 [A0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:18:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_02F9&SUBSYS_86F8103C&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","B1425000"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) Thermal Subsytem - 02F9"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.27.4"
"DeviceInstanceId","PCI\VEN_8086&DEV_02F9&SUBSYS_86F8103C&REV_00\3&11583659&0&90"
"Location Paths","PCIROOT(0)#PCI(1200)"

Intel Comet Lake PCH-LP - USB 3.1 xHCI Host Controller [A0]

"Nombre del dispositivo:","Intel Comet Lake PCH-LP - USB 3.1 xHCI Host Controller [A0]"
"Nombre del dispositivo original:","Intel Comet Lake PCH-LP - USB 3.1 xHCI Host Controller [A0]"
"Clase de dispositivo:","USB xHCI Controller"
"ID de revisión:","0 [A0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:20:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_02ED&SUBSYS_86F8103C&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","B1400000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Versión USB admitida:","3.1"
"Fabricante del controlador:","Controladora de host USB genérico xHCI"
"Descripción del controlador:","Controladora de host USB genérico compatible con xHCI"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.22621.3235"
"Fecha del controlador:","24-Feb-2024"
"DeviceInstanceId","PCI\VEN_8086&DEV_02ED&SUBSYS_86F8103C&REV_00\3&11583659&0&A0"
"Location Paths","PCIROOT(0)#PCI(1400)"

USB Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : Lite-On Technology, PID=009C

"Fabricante del dispositivo:","Lite-On Technology Corp"
"Nombre del producto:","USB Keyboard"
"Número de serie:","N/A"
"Versión USB admitida:","1.10"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_04CA&PID_009C"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.22621.3155"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_04CA&PID_009C\5&2DEEBF37&0&3"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(3)"

[Port4] : HP Optical Mouse [672662-001]

"Fabricante del dispositivo:","PixArt"
"Nombre del producto:","HP USB Optical Mouse"
"Número de serie:","N/A"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo de entrada USB"
"ID de hardware:","USB\VID_03F0&PID_094A"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Dispositivo de entrada USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.22621.2506"
"Fecha del controlador:","20-Jun-2006"
"DeviceInstanceId","USB\VID_03F0&PID_094A\5&2DEEBF37&0&4"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(4)"

[Port5] : Realtek Semiconductor Realtek Bluetooth 4.2 Adapter

"Fabricante del dispositivo:","Realtek Semiconductor"
"Nombre del producto:","Realtek Semiconductor Realtek Bluetooth 4.2 Adapter"
"Número de serie:","-"
"Versión USB admitida:","1.00"
"Velocidad del dispositivo USB:","USB 1.1 Full-speed"
"Descripción del controlador:","Realtek Bluetooth 5 Adapter"
"ID de hardware:","USB\VID_0BDA&PID_B00C"
"Fabricante del controlador:","Realtek Semiconductor Corp."
"Descripción del controlador:","Realtek Bluetooth 5 Adapter"
"Proveedor de controladores:","Realtek Semiconductor Corp."
"Versión del controlador:","1.9.1038.3008"
"Fecha del controlador:","11-Dec-2021"
